TradeNum,Date,ExitDate,Type,LevelType,EntryPrice,InitialSL,FinalSL,HardTP,ExitPrice,RiskPerOz,LotOunces,RiskUSD,PnLUSD,RMultiple,Result,BELocked,RunningBalance
1,2026-02-09 19:00,2026-02-10 00:00,SHORT,RESISTANCE BOUNCE,5111.9,5121.9,5111.4,5091.9,5091.9,10,100,1000,-2000,2,LOSS,YES,8000
2,2026-02-16 04:00,2026-02-17 08:00,LONG,SUPPORT BOUNCE,4902,4892,4902.5,4922,4922,10,80,800,1600,2,WIN,YES,9600
3,2026-03-15 22:00,2026-03-16 02:00,LONG,SUPPORT BOUNCE,4984,4974,4984.5,5004,5004,10,96,960,1920,2,WIN,YES,11520
4,2026-03-20 18:00,2026-03-22 23:00,LONG,SUPPORT BOUNCE,4507,4497,4497,4527,4497,10,115.2,1152,-1152,-1,LOSS,NO,10368
5,2026-03-30 08:00,2026-03-30 12:00,SHORT,RESISTANCE BOUNCE,4599,4609,4598.5,4579,4579,10,103.68,1036.8,-2073.6,2,LOSS,YES,8294.4
6,2026-04-07 22:00,2026-04-08 02:00,SHORT,RESISTANCE BOUNCE,4823.9,4833.9,4833.9,4803.9,4833.9,10,82.94,829.44,829.44,-1,WIN,NO,9123.84
7,2026-04-14 06:00,2026-04-14 10:00,SHORT,RESISTANCE BOUNCE,4818,4828,4817.5,4798,4798,10,91.24,912.38,-1824.77,2,LOSS,YES,7299.07
8,2026-04-17 09:00,2026-04-17 13:00,SHORT,RESISTANCE BOUNCE,4859.3,4869.3,4869.3,4839.3,4869.3,10,72.99,729.91,729.91,-1,WIN,NO,8028.98
9,2026-04-23 15:00,2026-04-23 19:00,LONG,SUPPORT BOUNCE,4687.8,4677.8,4688.3,4707.8,4707.8,10,80.29,802.9,1605.8,2,WIN,YES,9634.78
10,2026-04-29 07:00,2026-04-29 11:00,LONG,SUPPORT BOUNCE,4569.6,4559.6,4570.1,4589.6,4570.1,10,96.35,963.48,48.17,0.05,WIN,YES,9682.95
11,2026-05-04 10:00,2026-05-04 14:00,LONG,SUPPORT BOUNCE,4572,4562,4572.5,4592,4592,10,96.83,968.29,1936.59,2,WIN,YES,11619.54
12,2026-05-07 05:00,2026-05-07 09:00,SHORT,RESISTANCE BOUNCE,4732.6,4742.6,4742.6,4712.6,4742.6,10,116.2,1161.95,1161.95,-1,WIN,NO,12781.49
13,2026-05-12 12:00,2026-05-12 16:00,LONG,SUPPORT BOUNCE,4657.1,4647.1,4657.6,4677.1,4677.1,10,127.81,1278.15,2556.3,2,WIN,YES,15337.79
14,2026-05-19 13:00,2026-05-19 17:00,LONG,SUPPORT BOUNCE,4485.5,4475.5,4486,4505.5,4505.5,10,153.38,1533.78,3067.56,2,WIN,YES,18405.35
15,2026-05-22 12:00,2026-05-22 16:00,LONG,SUPPORT BOUNCE,4490.3,4480.3,4490.8,4510.3,4510.3,10,184.05,1840.53,3681.07,2,WIN,YES,22086.42
16,2026-06-05 11:00,2026-06-05 15:00,LONG,SUPPORT BOUNCE,4397.6,4387.6,4387.6,4417.6,4387.6,10,220.86,2208.64,-2208.64,-1,LOSS,NO,19877.78
17,2026-06-15 13:00,2026-06-15 17:00,SHORT,RESISTANCE BOUNCE,4386.6,4396.6,4386.1,4366.6,4366.6,10,198.78,1987.78,-3975.56,2,LOSS,YES,15902.22
18,2026-06-18 16:00,2026-06-18 20:00,LONG,SUPPORT BOUNCE,4239.4,4229.4,4229.4,4259.4,4229.4,10,159.02,1590.22,-1590.22,-1,LOSS,NO,14312
19,2026-06-25 02:00,2026-06-25 06:00,LONG,SUPPORT BOUNCE,3977.7,3967.7,3978.2,3997.7,3997.7,10,143.12,1431.2,2862.4,2,WIN,YES,17174.4
20,2026-07-01 10:00,2026-07-01 14:00,SHORT,RESISTANCE BOUNCE,4076.1,4086.1,4086.1,4056.1,4086.1,10,171.74,1717.44,1717.44,-1,WIN,NO,18891.84
21,2026-07-07 19:00,2026-07-08 00:00,LONG,SUPPORT BOUNCE,4129.7,4119.7,4130.2,4149.7,4130.2,10,188.92,1889.18,94.46,0.05,WIN,YES,18986.3
22,2026-07-16 10:00,2026-07-16 14:00,LONG,SUPPORT BOUNCE,3992.4,3982.4,3992.9,4012.4,4012.4,10,189.86,1898.63,3797.26,2,WIN,YES,22783.56
23,2026-07-21 01:00,2026-07-21 05:00,SHORT,RESISTANCE BOUNCE,4044,4054,4054,4024,4054,10,227.84,2278.36,2278.36,-1,WIN,NO,25061.91
24,2026-07-28 06:00,2026-07-28 10:00,LONG,SUPPORT BOUNCE,4026,4016,4026.5,4046,4026.5,10,250.62,2506.19,125.31,0.05,WIN,YES,25187.22
25,2026-08-05 00:00,2026-08-05 04:00,SHORT,RESISTANCE BOUNCE,4178.2,4188.2,4188.2,4158.2,4188.2,10,251.87,2518.72,2518.72,-1,WIN,NO,27705.95
