TradeNum,Date,ExitDate,Type,LevelType,EntryPrice,InitialSL,FinalSL,HardTP,ExitPrice,RiskPerOz,LotOunces,RiskUSD,PnLUSD,RMultiple,Result,BELocked,RunningBalance
1,2025-08-14 12:00,2025-08-15 01:00,LONG,SUPPORT BOUNCE,3381.1,3371.1,3381.6,3401.1,3381.6,10,100,1000,50,0.05,WIN,YES,10050
2,2025-08-20 11:00,2025-08-21 08:00,SHORT,RESISTANCE BOUNCE,3387.7,3397.7,3387.2,3367.7,3367.7,10,100.5,1005,2010,2,WIN,YES,12060
3,2025-08-27 16:00,2025-08-27 20:00,SHORT,RESISTANCE BOUNCE,3442.3,3452.3,3452.3,3422.3,3452.3,10,120.6,1206,-1206,-1,LOSS,NO,10854
4,2025-09-05 12:00,2025-09-05 16:00,SHORT,RESISTANCE BOUNCE,3638.1,3648.1,3648.1,3618.1,3648.1,10,108.54,1085.4,-1085.4,-1,LOSS,NO,9768.6
5,2025-09-11 08:00,2025-09-11 12:00,LONG,SUPPORT BOUNCE,3653.4,3643.4,3653.9,3673.4,3673.4,10,97.69,976.86,1953.72,2,WIN,YES,11722.32
6,2025-09-17 17:00,2025-09-17 22:00,SHORT,RESISTANCE BOUNCE,3737.9,3747.9,3737.4,3717.9,3717.9,10,117.22,1172.23,2344.46,2,WIN,YES,14066.78
7,2025-09-29 01:00,2025-09-29 05:00,SHORT,RESISTANCE BOUNCE,3822.6,3832.6,3832.6,3802.6,3832.6,10,140.67,1406.68,-1406.68,-1,LOSS,NO,12660.11
8,2025-10-02 12:00,2025-10-02 16:00,SHORT,RESISTANCE BOUNCE,3920.7,3930.7,3920.2,3900.7,3900.7,10,126.6,1266.01,2532.02,2,WIN,YES,15192.13
9,2025-10-10 19:00,2025-10-13 00:00,SHORT,RESISTANCE BOUNCE,4079,4089,4078.5,4059,4059,10,151.92,1519.21,3038.43,2,WIN,YES,18230.55
10,2025-10-17 04:00,2025-10-17 08:00,SHORT,RESISTANCE BOUNCE,4390,4400,4389.5,4370,4370,10,182.31,1823.06,3646.11,2,WIN,YES,21876.66
11,2025-10-27 14:00,2025-10-27 18:00,LONG,SUPPORT BOUNCE,4023.2,4013.2,4013.2,4043.2,4013.2,10,218.77,2187.67,-2187.67,-1,LOSS,NO,19689
12,2025-11-10 01:00,2025-11-10 05:00,SHORT,RESISTANCE BOUNCE,4057.9,4067.9,4067.9,4037.9,4067.9,10,196.89,1968.9,-1968.9,-1,LOSS,NO,17720.1
13,2025-11-28 15:30,2025-11-30 23:00,SHORT,RESISTANCE BOUNCE,4248,4258,4247.5,4228,4228,10,177.2,1772.01,3544.02,2,WIN,YES,21264.12
14,2025-12-05 11:00,2025-12-05 15:00,SHORT,RESISTANCE BOUNCE,4271.3,4281.3,4270.8,4251.3,4251.3,10,212.64,2126.41,4252.82,2,WIN,YES,25516.94
15,2026-03-23 04:00,2026-03-23 08:00,LONG,SUPPORT BOUNCE,4209.8,4199.8,4210.3,4229.8,4229.8,10,255.17,2551.69,5103.39,2,WIN,YES,30620.33
16,2026-06-05 16:00,2026-06-05 20:00,LONG,SUPPORT BOUNCE,4350.2,4340.2,4350.7,4370.2,4370.2,10,306.2,3062.03,6124.07,2,WIN,YES,36744.39
17,2026-06-24 10:00,2026-06-24 14:00,LONG,SUPPORT BOUNCE,4048.2,4038.2,4048.7,4068.2,4048.7,10,367.44,3674.44,183.72,0.05,WIN,YES,36928.11
18,2026-07-01 11:00,2026-07-01 15:00,SHORT,RESISTANCE BOUNCE,4076.1,4086.1,4086.1,4056.1,4086.1,10,369.28,3692.81,-3692.81,-1,LOSS,NO,33235.3
19,2026-08-05 01:00,2026-08-05 05:00,SHORT,RESISTANCE BOUNCE,4190.4,4200.4,4200.4,4170.4,4200.4,10,332.35,3323.53,-3323.53,-1,LOSS,NO,29911.77
