TradeNum,Date,ExitDate,Type,LevelType,EntryPrice,InitialSL,FinalSL,HardTP,ExitPrice,RiskPerOz,LotOunces,RiskUSD,PnLUSD,RMultiple,Result,ExitReason,BELocked,RunningBalance
1,2026-02-09 19:00,2026-02-10 00:00,SHORT,RESISTANCE BOUNCE,5111.9,5121.9,5081.5,5086.9,5086.9,10,100,1000,2500,2.5,WIN,HARD TP HIT,YES,12500
2,2026-02-16 04:00,2026-02-17 08:00,LONG,SUPPORT BOUNCE,4902,4892,4923.8,4927,4927,10,125,1250,3125,2.5,WIN,HARD TP HIT,YES,15625
3,2026-03-15 22:00,2026-03-16 02:00,LONG,SUPPORT BOUNCE,4984,4974,4998.9,5009,5009,10,156.25,1562.5,3906.25,2.5,WIN,HARD TP HIT,YES,19531.25
4,2026-03-20 18:00,2026-03-22 23:00,LONG,SUPPORT BOUNCE,4507,4497,4497,4532,4497,10,195.31,1953.13,-1953.13,-1,LOSS,INITIAL SL HIT,NO,17578.13
5,2026-03-30 08:00,2026-03-30 12:00,SHORT,RESISTANCE BOUNCE,4599,4609,4598.5,4574,4574,10,175.78,1757.81,4394.53,2.5,WIN,HARD TP HIT,YES,21972.66
6,2026-04-07 22:00,2026-04-08 02:00,SHORT,RESISTANCE BOUNCE,4823.9,4833.9,4833.9,4798.9,4833.9,10,219.73,2197.27,-2197.27,-1,LOSS,INITIAL SL HIT,NO,19775.39
7,2026-04-14 06:00,2026-04-14 10:00,SHORT,RESISTANCE BOUNCE,4818,4828,4817.5,4793,4793,10,197.75,1977.54,4943.85,2.5,WIN,HARD TP HIT,YES,24719.24
8,2026-04-17 09:00,2026-04-17 13:00,SHORT,RESISTANCE BOUNCE,4859.3,4869.3,4869.3,4834.3,4869.3,10,247.19,2471.92,-2471.92,-1,LOSS,INITIAL SL HIT,NO,22247.31
9,2026-04-23 15:00,2026-04-23 19:00,LONG,SUPPORT BOUNCE,4687.8,4677.8,4699.5,4712.8,4712.8,10,222.47,2224.73,5561.83,2.5,WIN,HARD TP HIT,YES,27809.14
10,2026-04-29 07:00,2026-04-29 11:00,LONG,SUPPORT BOUNCE,4569.6,4559.6,4570.1,4594.6,4570.1,10,278.09,2780.91,139.05,0.05,WIN,TRAILING SL HIT,YES,27948.19
11,2026-05-04 10:00,2026-05-04 14:00,LONG,SUPPORT BOUNCE,4572,4562,4572.5,4597,4572.5,10,279.48,2794.82,139.74,0.05,WIN,TRAILING SL HIT,YES,28087.93
12,2026-05-07 05:00,2026-05-07 09:00,SHORT,RESISTANCE BOUNCE,4732.6,4742.6,4742.6,4707.6,4742.6,10,280.88,2808.79,-2808.79,-1,LOSS,INITIAL SL HIT,NO,25279.14
13,2026-05-12 12:00,2026-05-12 16:00,LONG,SUPPORT BOUNCE,4657.1,4647.1,4668.8,4682.1,4682.1,10,252.79,2527.91,6319.78,2.5,WIN,HARD TP HIT,YES,31598.92
14,2026-05-19 13:00,2026-05-19 17:00,LONG,SUPPORT BOUNCE,4485.5,4475.5,4486,4510.5,4510.5,10,315.99,3159.89,7899.73,2.5,WIN,HARD TP HIT,YES,39498.65
15,2026-05-22 12:00,2026-05-22 16:00,LONG,SUPPORT BOUNCE,4490.3,4480.3,4503.1,4515.3,4515.3,10,394.99,3949.87,9874.66,2.5,WIN,HARD TP HIT,YES,49373.31
16,2026-06-05 11:00,2026-06-05 15:00,LONG,SUPPORT BOUNCE,4397.6,4387.6,4387.6,4422.6,4387.6,10,493.73,4937.33,-4937.33,-1,LOSS,INITIAL SL HIT,NO,44435.98
17,2026-06-15 13:00,2026-06-15 17:00,SHORT,RESISTANCE BOUNCE,4386.6,4396.6,4363,4361.6,4361.6,10,444.36,4443.6,11109,2.5,WIN,HARD TP HIT,YES,55544.98
18,2026-06-18 16:00,2026-06-18 20:00,LONG,SUPPORT BOUNCE,4239.4,4229.4,4229.4,4264.4,4229.4,10,555.45,5554.5,-5554.5,-1,LOSS,INITIAL SL HIT,NO,49990.48
19,2026-06-25 02:00,2026-06-25 06:00,LONG,SUPPORT BOUNCE,3977.7,3967.7,3984.1,4002.7,4002.7,10,499.9,4999.05,12497.62,2.5,WIN,HARD TP HIT,YES,62488.1
20,2026-07-01 10:00,2026-07-01 14:00,SHORT,RESISTANCE BOUNCE,4076.1,4086.1,4086.1,4051.1,4086.1,10,624.88,6248.81,-6248.81,-1,LOSS,INITIAL SL HIT,NO,56239.29
21,2026-07-07 19:00,2026-07-08 00:00,LONG,SUPPORT BOUNCE,4129.7,4119.7,4130.2,4154.7,4130.2,10,562.39,5623.93,281.2,0.05,WIN,TRAILING SL HIT,YES,56520.49
22,2026-07-16 10:00,2026-07-16 14:00,LONG,SUPPORT BOUNCE,3992.4,3982.4,3992.9,4017.4,4017.4,10,565.2,5652.05,14130.12,2.5,WIN,HARD TP HIT,YES,70650.61
23,2026-07-21 01:00,2026-07-21 05:00,SHORT,RESISTANCE BOUNCE,4044,4054,4054,4019,4054,10,706.51,7065.06,-7065.06,-1,LOSS,INITIAL SL HIT,NO,63585.55
24,2026-07-28 06:00,2026-07-28 10:00,LONG,SUPPORT BOUNCE,4026,4016,4026.5,4051,4026.5,10,635.86,6358.55,317.93,0.05,WIN,BREAKEVEN HIT,YES,63903.48
25,2026-08-05 00:00,2026-08-05 04:00,SHORT,RESISTANCE BOUNCE,4178.2,4188.2,4188.2,4153.2,4188.2,10,639.03,6390.35,-6390.35,-1,LOSS,INITIAL SL HIT,NO,57513.13
