TradeNum,Date,ExitDate,Type,EntryPrice,InitialSL,FinalSL,HardTP,ExitPrice,RiskPerOz,LotOunces,RiskUSD,PnLUSD,RMultiple,Result,BELocked,RunningBalance
1,2026-03-11,2026-03-12,LONG,5213.6,5201.6,5201.6,5243.6,5201.6,12,8.33,100,-100,-1,LOSS,NO,9900
2,2026-07-02,2026-07-06,SHORT,4098.8,4110.8,4110.8,4068.8,4110.8,12,8.25,99,-99,-1,LOSS,NO,9801
3,2026-04-10,2026-04-13,LONG,4791.1,4779.1,4779.1,4821.1,4779.1,12,8.17,98.01,-98.01,-1,LOSS,NO,9702.99
4,2026-05-07,2026-05-08,SHORT,4702,4714,4714,4672,4714,12,8.09,97.03,-97.03,-1,LOSS,NO,9605.96
5,2026-05-29,2026-06-01,SHORT,4510.7,4522.7,4510.2,4480.7,4480.7,12,8,96.06,240.15,2.5,WIN,YES,9846.11
6,2026-06-04,2026-06-05,SHORT,4463.1,4475.1,4462.6,4433.1,4433.1,12,8.21,98.46,246.15,2.5,WIN,YES,10092.26
7,2026-06-30,2026-07-01,SHORT,4029,4041,4028.5,3999,3999,12,8.41,100.92,252.31,2.5,WIN,YES,10344.57
8,2024-08-22,2024-08-22 16:20,LONG,2500.56,2493.19,2493.19,2515.3,2493.19,7.37,14.04,103.45,-103.45,-1,LOSS,NO,10241.12
9,2024-09-03,2024-09-03 15:10,LONG,2493.79,2485.69,2494.09,2509.99,2494.09,8.1,12.64,102.41,3.79,0.04,BREAKEVEN,YES,10244.92
10,2024-09-17,2024-09-17 16:30,LONG,2573.2,2566.94,2573.5,2585.72,2573.5,6.26,16.37,102.45,4.91,0.05,BREAKEVEN,YES,10249.83
11,2024-09-26,2024-09-26 15:45,SHORT,2670.38,2676.46,2676.46,2658.22,2676.46,6.08,16.86,102.5,-102.5,-1,LOSS,NO,10147.33
12,2024-10-08,2024-10-08 17:25,SHORT,2643.65,2651.56,2634.57,2627.83,2627.83,7.91,12.83,101.47,202.95,2,WIN,YES,10350.27
13,2024-10-10,2024-10-10 15:45,SHORT,2618.01,2626.43,2626.43,2601.17,2626.43,8.42,12.29,103.5,-103.5,-1,LOSS,NO,10246.77
14,2024-11-01,2024-11-01 15:35,SHORT,2757.39,2762.2,2757.09,2747.77,2757.09,4.81,21.3,102.47,6.39,0.06,BREAKEVEN,YES,10253.16
15,2024-11-06,2024-11-06 14:30,LONG,2706.12,2696.46,2696.46,2725.44,2696.46,9.66,10.61,102.53,-102.53,-1,LOSS,NO,10150.63
16,2024-11-15,2024-11-15 15:30,SHORT,2570.22,2575.74,2569.92,2559.18,2569.92,5.52,18.39,101.51,5.52,0.05,BREAKEVEN,YES,10156.15
17,2024-12-04,2024-12-04 15:40,LONG,2637.69,2631.02,2642,2651.03,2642,6.67,15.23,101.56,65.63,0.65,WIN,YES,10221.77
18,2024-12-06,2024-12-06 16:05,LONG,2636.91,2629.01,2629.01,2652.71,2629.01,7.9,12.94,102.22,-102.22,-1,LOSS,NO,10119.56
19,2025-01-08,2025-01-08 16:00,SHORT,2654.01,2661.06,2661.06,2639.91,2661.06,7.05,14.35,101.2,-101.2,-1,LOSS,NO,10018.36
20,2025-01-10,2025-01-10 16:25,LONG,2671.76,2663.51,2686.06,2688.26,2688.26,8.25,12.14,100.18,200.37,2,WIN,YES,10218.73
21,2025-01-14,2025-01-14 15:35,LONG,2665.49,2658.66,2665.79,2679.15,2658.66,6.83,14.96,102.19,-102.19,-1,LOSS,YES,10116.54
22,2025-01-15,2025-01-15 16:00,SHORT,2687.94,2695.28,2695.28,2673.26,2695.28,7.34,13.78,101.17,-101.17,-1,LOSS,NO,10015.37
23,2025-01-23,2025-01-23 16:40,LONG,2741.46,2736.35,2741.76,2751.68,2741.76,5.11,19.6,100.15,5.88,0.06,BREAKEVEN,YES,10021.25
24,2025-02-07,2025-02-07 16:50,LONG,2860.38,2850.39,2874.46,2880.36,2874.46,9.99,10.03,100.21,141.24,1.41,WIN,YES,10162.5
25,2025-02-10,2025-02-10 16:35,SHORT,2905.56,2912.83,2905.26,2891.02,2905.26,7.27,13.98,101.62,4.19,0.04,BREAKEVEN,YES,10166.69
26,2025-02-12,2025-02-12 15:55,LONG,2884.75,2873.68,2885.05,2906.89,2873.68,11.07,9.18,101.67,-101.67,-1,LOSS,YES,10065.02
27,2025-02-25,2025-02-25 16:10,LONG,2929.63,2924.24,2937.15,2940.41,2940.41,5.39,18.67,100.65,201.3,2,WIN,YES,10266.32
28,2025-03-07,2025-03-07 16:15,SHORT,2918.12,2928.37,2915.09,2897.62,2915.09,10.25,10.02,102.66,30.35,0.3,WIN,YES,10296.67
29,2025-03-12,2025-03-12 17:00,LONG,2910.87,2903.97,2920.42,2924.67,2924.67,6.9,14.92,102.97,205.93,2,WIN,YES,10502.6
30,2025-03-13,2025-03-13 16:30,SHORT,2948.39,2954.35,2954.35,2936.47,2954.35,5.96,17.62,105.03,-105.03,-1,LOSS,NO,10397.58
31,2025-03-18,2025-03-18 14:40,SHORT,3028.15,3033.36,3033.36,3017.73,3033.36,5.21,19.96,103.98,-103.98,-1,LOSS,NO,10293.6
32,2025-03-21,2025-03-21 15:35,SHORT,3033.27,3039.37,3027.24,3021.07,3021.07,6.1,16.87,102.94,205.87,2,WIN,YES,10499.47
33,2025-04-03,2025-04-03 13:25,LONG,3119.32,3110.08,3110.08,3137.8,3110.08,9.24,11.36,104.99,-104.99,-1,LOSS,NO,10394.48
