TradeNum,SubStrategy,Date,Type,EntryPrice,ExitPrice,RiskUSD,PnLUSD,Result,RunningBalance
1,Sub-Strat 1: 1st-Touch Bounce,2026-03-18,LONG,4849.8,4869.8,100.00,200.00,WIN,10200
2,Sub-Strat 1: 1st-Touch Bounce,2026-03-13,LONG,5025,5045,102.00,204.00,WIN,10404
3,Sub-Strat 1: 1st-Touch Bounce,2026-06-10,LONG,4102.8,4122.8,104.04,208.08,WIN,10612.08
4,Sub-Strat 1: 1st-Touch Bounce,2026-04-21,LONG,4706,4696,106.12,-106.12,LOSS,10505.96
5,Sub-Strat 1: 1st-Touch Bounce,2026-04-24,LONG,4678.4,4698.4,105.06,210.12,WIN,10716.08
6,Sub-Strat 1: 1st-Touch Bounce,2026-05-04,LONG,4517.7,4537.7,107.16,214.32,WIN,10930.4
7,Sub-Strat 1: 1st-Touch Bounce,2026-05-19,LONG,4514.7,4534.7,109.30,218.61,WIN,11149.01
8,Sub-Strat 1: 1st-Touch Bounce,2026-05-28,LONG,4467.1,4487.1,111.49,222.98,WIN,11371.99
9,Sub-Strat 1: 1st-Touch Bounce,2026-06-05,LONG,4365.5,4385.5,113.72,227.44,WIN,11599.43
10,Sub-Strat 1: 1st-Touch Bounce,2026-06-24,LONG,4033,4053,115.99,231.99,WIN,11831.42
11,Sub-Strat 1: 1st-Touch Bounce,2026-06-30,LONG,3965.3,3985.3,118.31,236.63,WIN,12068.04
12,Sub-Strat 1: 1st-Touch Bounce,2026-07-01,LONG,3964.5,3984.5,120.68,241.36,WIN,12309.41
13,Sub-Strat 1: 1st-Touch Bounce,2026-07-13,LONG,4055,4075,123.09,246.19,WIN,12555.59
14,Sub-Strat 1: 1st-Touch Bounce,2026-07-14,LONG,3987.9,4007.9,125.56,251.11,WIN,12806.71
15,Sub-Strat 2: 3-Touch Breakdown,2026-03-06,SHORT,5109.3,5085.3,128.07,256.13,WIN,13062.84
16,Sub-Strat 2: 3-Touch Breakdown,2026-07-02,SHORT,4098.8,4110.8,130.63,-130.63,LOSS,12932.21
17,Sub-Strat 2: 3-Touch Breakdown,2026-04-30,SHORT,4549.9,4561.9,129.32,-129.32,LOSS,12802.89
18,Sub-Strat 2: 3-Touch Breakdown,2026-04-17,SHORT,4787.1,4786.6,128.03,5.33,WIN,12808.22
19,Sub-Strat 2: 3-Touch Breakdown,2026-05-07,SHORT,4702,4714,128.08,-128.08,LOSS,12680.14
20,Sub-Strat 2: 3-Touch Breakdown,2026-05-29,SHORT,4513.7,4489.7,126.80,253.60,WIN,12933.74
21,Sub-Strat 2: 3-Touch Breakdown,2026-05-29,SHORT,4510.7,4486.7,129.34,258.67,WIN,13192.42
22,Sub-Strat 2: 3-Touch Breakdown,2026-06-04,SHORT,4463.1,4439.1,131.92,263.85,WIN,13456.27
23,Sub-Strat 2: 3-Touch Breakdown,2026-06-30,SHORT,4029,4005,134.56,269.13,WIN,13725.39
24,Sub-Strat 2: 3-Touch Breakdown,2026-07-24,SHORT,4051,4063,137.25,-137.25,LOSS,13588.14
25,Sub-Strat 3: NY Liquidity Sweep,2024-08-22 15:30,LONG,2500.56,2493.19,135.88,-135.88,LOSS,13452.26
26,Sub-Strat 3: NY Liquidity Sweep,2024-09-26 15:35,SHORT,2670.38,2676.46,134.52,-134.52,LOSS,13317.74
27,Sub-Strat 3: NY Liquidity Sweep,2024-12-06 15:30,LONG,2636.91,2629.01,133.18,-133.18,LOSS,13184.56
28,Sub-Strat 3: NY Liquidity Sweep,2025-01-14 15:35,LONG,2665.49,2658.66,131.85,-131.85,LOSS,13052.71
29,Sub-Strat 3: NY Liquidity Sweep,2025-01-15 15:30,SHORT,2687.94,2695.28,130.53,-130.53,LOSS,12922.19
30,Sub-Strat 3: NY Liquidity Sweep,2025-02-25 15:00,LONG,2929.63,2937.7150000000006,129.22,193.83,WIN,13116.02
31,Sub-Strat 3: NY Liquidity Sweep,2025-05-22 13:05,LONG,3304.77,3299.65,131.16,-131.16,LOSS,12984.86
32,Sub-Strat 3: NY Liquidity Sweep,2025-06-04 15:25,LONG,3349.71,3360.6900000000005,129.85,194.77,WIN,13179.63
33,Sub-Strat 4: Double Bottom Sweep,2026-04-17,LONG,4857.6,4755.2,131.80,-131.80,LOSS,13047.83
34,Sub-Strat 4: Double Bottom Sweep,2026-06-04,LONG,4475.8,4435.4,130.48,-130.48,LOSS,12917.36
35,Sub-Strat 4: Double Bottom Sweep,2026-06-30,LONG,4022.9,4023.4,129.17,0.89,BREAKEVEN,12918.25
36,Sub-Strat 4: Double Bottom Sweep,2026-07-17,LONG,4012.7,4013.2,129.18,1.04,BREAKEVEN,12919.29
