TradeNum,Date,EntryTime,ExitTime,Type,EntryPrice,InitialSL,FinalSL,TPPrice,ExitPrice,PnLUSD,Result,BELocked,DurationMins,RunningBalance
1,2024-08-06,15:35,16:05,LONG,2395.64,2390.57,2390.57,2401.98,2390.57,-50.7,LOSS,NO,30,9949.3
2,2024-08-22,15:30,16:20,LONG,2500.56,2493.19,2493.19,2509.77,2493.19,-73.7,LOSS,NO,50,9875.6
3,2024-09-26,15:35,15:45,SHORT,2670.38,2676.46,2676.46,2662.78,2676.46,-60.8,LOSS,NO,10,9814.8
4,2024-10-10,15:35,15:45,SHORT,2618.01,2626.43,2626.43,2607.49,2626.43,-84.2,LOSS,NO,10,9730.6
5,2024-11-13,15:40,16:10,SHORT,2609.26,2615.69,2615.69,2601.22,2615.69,-64.3,LOSS,NO,30,9666.3
6,2024-12-06,15:30,16:05,LONG,2636.91,2629.01,2629.01,2646.78,2629.01,-79,LOSS,NO,35,9587.3
7,2024-12-11,15:35,16:00,SHORT,2697.82,2703.96,2703.96,2690.15,2703.96,-61.4,LOSS,NO,25,9525.9
8,2024-12-13,14:00,14:05,LONG,2665.19,2660.79,2665.39,2670.69,2665.39,2,BREAKEVEN,YES,5,9527.9
9,2024-12-16,13:30,15:00,SHORT,2661.86,2666.15,2661.66,2656.5,2661.66,2,BREAKEVEN,YES,90,9529.9
10,2025-01-14,15:35,17:10,LONG,2665.49,2658.66,2658.66,2674.03,2670.61,51.2,WIN,NO,95,9581.1
11,2025-01-15,15:30,16:00,SHORT,2687.94,2695.28,2695.28,2678.76,2695.28,-73.4,LOSS,NO,30,9507.7
12,2025-02-25,15:00,15:45,LONG,2929.63,2924.24,2932.09,2936.37,2936.37,67.38,WIN,YES,45,9575.08
13,2025-05-21,15:40,16:00,LONG,3298.95,3294.12,3301.71,3304.99,3304.99,60.37,WIN,YES,20,9635.45
14,2025-05-22,13:05,13:25,LONG,3304.77,3299.65,3299.65,3311.17,3299.65,-51.2,LOSS,NO,20,9584.25
15,2025-06-03,15:20,15:40,LONG,3353.38,3347.08,3357.01,3361.26,3361.26,78.75,WIN,YES,20,9663
16,2025-06-04,15:25,15:45,LONG,3349.71,3342.39,3354.26,3358.86,3358.86,91.5,WIN,YES,20,9754.5
17,2025-06-06,15:30,15:40,LONG,3357,3347.45,3347.45,3368.94,3347.45,-95.5,LOSS,NO,10,9659
