Trade #,Entry Date,Exit Date,Type,Entry Price,Exit Price,Initial SL,Hard TP,Lots,PnL USD,Balance,Result,Exit Reason
1,2025-08-26 00:00,2025-08-26 03:00,LONG,3431.10,3418.95,3418.95,3461.47,16.46,-200.00,9800.00,LOSS,"Stop Loss Hit"
2,2025-08-26 13:00,2025-08-27 11:00,LONG,3422.20,3422.70,3409.75,3453.33,15.74,7.87,9807.87,WIN,"Breakeven / Trailing SL"
3,2025-08-27 12:00,2025-08-28 00:00,LONG,3429.70,3453.61,3420.13,3453.61,20.51,490.39,10298.26,WIN,"Take Profit Target Hit"
4,2025-08-29 11:00,2025-08-29 14:00,LONG,3469.80,3489.29,3462.00,3489.29,26.42,514.91,10813.18,WIN,"Take Profit Target Hit"
5,2025-09-04 11:00,2025-09-05 13:00,LONG,3603.10,3647.04,3585.53,3647.04,12.31,540.66,11353.83,WIN,"Take Profit Target Hit"
6,2025-09-08 00:00,2025-09-08 14:00,LONG,3634.40,3678.20,3616.88,3678.20,12.96,567.69,11921.53,WIN,"Take Profit Target Hit"
7,2025-09-10 04:00,2025-09-10 12:00,LONG,3680.00,3680.50,3663.73,3720.68,14.65,7.33,11928.85,WIN,"Breakeven / Trailing SL"
8,2025-09-10 17:00,2025-09-11 02:00,LONG,3686.90,3671.96,3671.96,3724.24,15.97,-238.58,11690.27,LOSS,"Stop Loss Hit"
9,2025-09-12 09:00,2025-09-15 00:00,LONG,3684.50,3672.21,3672.21,3715.24,19.02,-233.81,11456.47,LOSS,"Stop Loss Hit"
10,2025-09-15 03:00,2025-09-15 07:00,LONG,3683.20,3671.78,3671.78,3711.75,20.06,-229.13,11227.34,LOSS,"Stop Loss Hit"
11,2025-09-15 12:00,2025-09-15 13:00,LONG,3687.60,3688.10,3675.78,3717.16,18.99,9.50,11236.84,WIN,"Breakeven / Trailing SL"
12,2025-09-23 22:00,2025-09-24 15:00,LONG,3797.70,3779.98,3779.98,3842.00,12.68,-224.74,11012.10,LOSS,"Stop Loss Hit"
13,2025-09-30 14:00,2025-10-01 18:00,LONG,3881.70,3882.20,3856.80,3943.95,8.85,4.42,11016.52,BREAKEVEN,"Breakeven / Trailing SL"
14,2025-10-01 19:00,2025-10-02 14:00,LONG,3894.30,3894.80,3874.00,3945.04,10.86,5.43,11021.95,WIN,"Breakeven / Trailing SL"
15,2025-10-02 23:00,2025-10-03 03:00,LONG,3886.80,3867.66,3867.66,3934.64,11.52,-220.44,10801.51,LOSS,"Stop Loss Hit"
16,2025-10-09 04:00,2025-10-09 14:00,LONG,4057.50,4032.45,4032.45,4120.12,8.62,-216.03,10585.48,LOSS,"Stop Loss Hit"
17,2025-10-14 07:00,2025-10-15 07:00,LONG,4141.80,4223.50,4109.12,4223.50,6.48,529.27,11114.76,WIN,"Take Profit Target Hit"
18,2025-10-16 06:00,2025-10-16 16:00,LONG,4236.80,4305.18,4209.45,4305.18,8.13,555.74,11670.49,WIN,"Take Profit Target Hit"
19,2025-10-20 11:00,2025-10-20 12:00,LONG,4294.80,4295.30,4251.70,4402.55,5.42,2.71,11673.20,BREAKEVEN,"Breakeven / Trailing SL"
20,2025-10-21 06:00,2025-10-21 07:00,LONG,4358.60,4321.22,4321.22,4452.05,6.25,-233.46,11439.74,LOSS,"Stop Loss Hit"
21,2025-10-22 07:00,2025-10-22 08:00,SHORT,4146.30,4145.80,4199.19,4014.07,4.33,2.16,11441.90,BREAKEVEN,"Breakeven / Trailing SL"
22,2025-10-22 23:00,2025-10-23 13:00,SHORT,4104.70,4158.42,4158.42,3970.39,4.26,-228.84,11213.06,LOSS,"Stop Loss Hit"
23,2025-10-23 22:00,2025-10-24 13:00,SHORT,4132.40,4131.90,4168.10,4043.16,6.28,3.14,11216.20,BREAKEVEN,"Breakeven / Trailing SL"
24,2025-10-26 22:00,2025-10-27 14:00,SHORT,4096.40,3996.58,4136.33,3996.58,5.62,560.81,11777.01,WIN,"Take Profit Target Hit"
25,2025-10-28 16:00,2025-10-28 22:00,SHORT,3973.50,3973.00,4009.83,3882.68,6.48,3.24,11780.25,BREAKEVEN,"Breakeven / Trailing SL"
26,2025-10-29 04:00,2025-10-29 07:00,SHORT,3965.80,3999.91,3999.91,3880.53,6.91,-235.61,11544.65,LOSS,"Stop Loss Hit"
27,2025-10-29 18:00,2025-10-29 19:00,SHORT,3982.90,3982.40,4017.29,3896.93,6.71,3.36,11548.01,BREAKEVEN,"Breakeven / Trailing SL"
