TradeNum,Name,Date,Type,EntryPrice,ExitPrice,RiskUSD,PnLUSD,Result,RunningBalance
1,1st Touch Support Bounce,2026-03-18,LONG,4849.8,4869.8,100.00,200.00,WIN,10200
2,1st Touch Support Bounce,2026-03-13,LONG,5025,5045,102.00,204.00,WIN,10404
3,1st Touch Support Bounce,2026-06-10,LONG,4102.8,4122.8,104.04,208.08,WIN,10612.08
4,1st Touch Support Bounce,2026-04-21,LONG,4706,4696,106.12,-106.12,LOSS,10505.96
5,1st Touch Support Bounce,2026-04-24,LONG,4678.4,4698.4,105.06,210.12,WIN,10716.08
6,1st Touch Support Bounce,2026-05-04,LONG,4517.7,4537.7,107.16,214.32,WIN,10930.4
7,1st Touch Support Bounce,2026-05-19,LONG,4514.7,4534.7,109.30,218.61,WIN,11149.01
8,1st Touch Support Bounce,2026-05-28,LONG,4467.1,4487.1,111.49,222.98,WIN,11371.99
9,1st Touch Support Bounce,2026-06-05,LONG,4365.5,4385.5,113.72,227.44,WIN,11599.43
10,1st Touch Support Bounce,2026-06-24,LONG,4033,4053,115.99,231.99,WIN,11831.42
11,1st Touch Support Bounce,2026-06-30,LONG,3965.3,3985.3,118.31,236.63,WIN,12068.04
12,1st Touch Support Bounce,2026-07-01,LONG,3964.5,3984.5,120.68,241.36,WIN,12309.41
13,1st Touch Support Bounce,2026-07-13,LONG,4055,4075,123.09,246.19,WIN,12555.59
14,1st Touch Support Bounce,2026-07-14,LONG,3987.9,4007.9,125.56,251.11,WIN,12806.71
