TradeNum,Date,EntryTime,ExitTime,Type,EntryPrice,InitialSL,FinalSL,HardTP,ExitPrice,RiskPerOz,LotOunces,RiskUSD,PnLUSD,RMultiple,Result,BELocked,RunningBalance
1,2024-08-02,16:35,17:00,SHORT,2465.55,2473.28,2473.28,2446.23,2473.28,7.73,12.94,100,-100,-1,LOSS,NO,9900
2,2024-08-06,16:35,17:15,LONG,2395.54,2388.29,2395.84,2413.66,2395.84,7.25,13.66,99,4.1,0.04,BREAKEVEN,YES,9904.1
3,2024-08-21,16:30,16:40,LONG,2504.73,2499.56,2499.56,2517.66,2499.56,5.17,19.16,99.04,-99.04,-1,LOSS,NO,9805.06
4,2024-08-28,16:40,16:40,LONG,2503.84,2497.3,2497.3,2520.19,2497.3,6.54,14.99,98.05,-98.05,-1,LOSS,NO,9707.01
5,2024-09-26,15:35,15:45,SHORT,2670.38,2676.46,2676.46,2655.18,2676.46,6.08,15.97,97.07,-97.07,-1,LOSS,NO,9609.93
6,2024-11-01,16:50,16:50,LONG,2745.55,2738.94,2738.94,2762.08,2738.94,6.61,14.54,96.1,-96.1,-1,LOSS,NO,9513.84
7,2024-11-08,16:30,17:20,SHORT,2695.83,2701.81,2687.74,2680.88,2687.74,5.98,15.91,95.14,128.71,1.35,WIN,YES,9642.54
8,2024-11-13,15:40,16:10,SHORT,2609.26,2615.69,2615.69,2593.19,2615.69,6.43,15,96.43,-96.43,-1,LOSS,NO,9546.12
9,2024-11-29,16:45,16:45,LONG,2656.32,2649.86,2649.86,2672.47,2649.86,6.46,14.78,95.46,-95.46,-1,LOSS,NO,9450.66
10,2024-12-06,15:30,16:05,LONG,2636.91,2629.01,2629.01,2656.66,2629.01,7.9,11.96,94.51,-94.51,-1,LOSS,NO,9356.15
11,2024-12-11,15:35,16:00,SHORT,2697.82,2703.96,2703.96,2682.47,2703.96,6.14,15.24,93.56,-93.56,-1,LOSS,NO,9262.59
12,2025-01-10,15:40,16:35,LONG,2675.95,2666.55,2688.03,2699.45,2688.03,9.4,9.85,92.63,119.03,1.29,WIN,YES,9381.62
13,2025-01-14,15:35,15:35,LONG,2665.49,2658.66,2665.79,2682.56,2658.66,6.83,13.74,93.82,-93.82,-1,LOSS,YES,9287.81
14,2025-02-07,15:30,16:50,LONG,2860.38,2850.39,2874.46,2885.36,2874.46,9.99,9.3,92.88,130.9,1.41,WIN,YES,9418.71
15,2025-02-10,15:20,16:35,SHORT,2905.56,2912.83,2905.26,2887.39,2905.26,7.27,12.96,94.19,3.89,0.04,BREAKEVEN,YES,9422.6
16,2025-02-11,16:40,16:55,LONG,2902.73,2897.08,2897.08,2916.86,2897.08,5.65,16.68,94.23,-94.23,-1,LOSS,NO,9328.37
17,2025-03-07,15:35,16:20,SHORT,2918.12,2928.37,2917.82,2892.49,2917.82,10.25,9.1,93.28,2.73,0.03,BREAKEVEN,YES,9331.1
18,2025-05-13,16:40,16:55,LONG,3238.14,3230.27,3230.27,3257.81,3230.27,7.87,11.86,93.31,-93.31,-1,LOSS,NO,9237.79
19,2025-05-22,13:05,13:25,LONG,3304.77,3299.65,3299.65,3317.57,3299.65,5.12,18.04,92.38,-92.38,-1,LOSS,NO,9145.41
20,2025-06-03,15:20,15:50,LONG,3353.38,3347.08,3358.17,3369.13,3358.17,6.3,14.52,91.45,69.53,0.76,WIN,YES,9214.95
21,2025-06-06,15:30,15:40,LONG,3357,3347.45,3347.45,3380.88,3347.45,9.55,9.65,92.15,-92.15,-1,LOSS,NO,9122.8
22,2025-06-11,16:45,18:45,LONG,3332.55,3325.73,3332.85,3349.6,3332.85,6.82,13.38,91.23,4.01,0.04,BREAKEVEN,YES,9126.81
23,2025-07-01,16:35,16:55,SHORT,3346.85,3352.48,3352.48,3332.77,3352.48,5.63,16.21,91.27,-91.27,-1,LOSS,NO,9035.54
24,2025-07-08,16:15,16:45,LONG,3321.98,3317.08,3317.08,3334.23,3317.08,4.9,18.44,90.36,-90.36,-1,LOSS,NO,8945.19
