TradeNum,Date,EntryTime,ExitTime,Type,EntryPrice,SLPrice,TPPrice,ExitPrice,RiskPerOz,LotOunces,RiskUSD,PnLUSD,RMultiple,Result,ExitReason,DurationMins,RunningBalance
1,2024-08-22,15:30,16:20,LONG,2500.56,2493.19,2515.3,2493.19,7.37,20.35,150,-150,-1,LOSS,LOSS,50,9850
2,2024-09-03,15:05,16:35,LONG,2493.79,2485.69,2509.99,2485.69,8.1,18.24,147.75,-147.75,-1,LOSS,LOSS,90,9702.25
3,2024-09-17,15:40,17:40,LONG,2573.2,2566.94,2585.72,2572.31,6.26,23.25,145.53,-20.69,-0.14,LOSS,TIME_EXIT,120,9681.56
4,2024-09-26,15:35,15:45,SHORT,2670.38,2676.46,2658.22,2676.46,6.08,23.89,145.22,-145.22,-1,LOSS,LOSS,10,9536.34
5,2024-10-08,15:30,17:25,SHORT,2643.65,2651.56,2627.83,2627.83,7.91,18.08,143.05,286.09,2,WIN,WIN,115,9822.43
6,2024-10-10,15:35,15:45,SHORT,2618.01,2626.43,2601.17,2626.43,8.42,17.5,147.34,-147.34,-1,LOSS,LOSS,10,9675.09
7,2024-11-01,15:20,16:35,SHORT,2757.39,2762.2,2747.77,2747.77,4.81,30.17,145.13,290.25,2,WIN,WIN,75,9965.34
8,2024-11-06,14:00,14:30,LONG,2706.12,2696.46,2725.44,2696.46,9.66,15.47,149.48,-149.48,-1,LOSS,LOSS,30,9815.86
9,2024-11-15,15:25,17:05,SHORT,2570.22,2575.74,2559.18,2575.74,5.52,26.67,147.24,-147.24,-1,LOSS,LOSS,100,9668.62
10,2024-12-04,15:05,16:25,LONG,2637.69,2631.02,2651.03,2651.03,6.67,21.74,145.03,290.06,2,WIN,WIN,80,9958.68
11,2024-12-06,15:30,16:05,LONG,2636.91,2629.01,2652.71,2629.01,7.9,18.91,149.38,-149.38,-1,LOSS,LOSS,35,9809.3
12,2025-01-08,15:25,16:00,SHORT,2654.01,2661.06,2639.91,2661.06,7.05,20.87,147.14,-147.14,-1,LOSS,LOSS,35,9662.16
13,2025-01-10,15:35,16:25,LONG,2671.76,2663.51,2688.26,2688.26,8.25,17.57,144.93,289.86,2,WIN,WIN,50,9952.03
14,2025-01-14,15:35,17:35,LONG,2665.49,2658.66,2679.15,2671.74,6.83,21.86,149.28,136.6,0.92,WIN,TIME_EXIT,120,10088.63
15,2025-01-15,15:30,16:00,SHORT,2687.94,2695.28,2673.26,2695.28,7.34,20.62,151.33,-151.33,-1,LOSS,LOSS,30,9937.3
16,2025-01-23,15:55,17:55,LONG,2741.46,2736.35,2751.68,2746.63,5.11,29.17,149.06,150.81,1.01,WIN,TIME_EXIT,120,10088.11
17,2025-02-07,15:30,17:05,LONG,2860.38,2850.39,2880.36,2880.36,9.99,15.15,151.32,302.64,2,WIN,WIN,95,10390.76
18,2025-02-10,15:20,17:20,SHORT,2905.56,2912.83,2891.02,2909.31,7.27,21.44,155.86,-80.4,-0.52,LOSS,TIME_EXIT,120,10310.36
19,2025-02-12,15:55,17:55,LONG,2884.75,2873.68,2906.89,2894.53,11.07,13.97,154.66,136.63,0.88,WIN,TIME_EXIT,120,10446.99
20,2025-02-25,15:00,16:10,LONG,2929.63,2924.24,2940.41,2940.41,5.39,29.07,156.7,313.41,2,WIN,WIN,70,10760.4
21,2025-03-07,15:35,16:55,SHORT,2918.12,2928.37,2897.62,2928.37,10.25,15.75,161.41,-161.41,-1,LOSS,LOSS,80,10599
22,2025-03-12,15:25,17:00,LONG,2910.87,2903.97,2924.67,2924.67,6.9,23.04,158.98,317.97,2,WIN,WIN,95,10916.97
23,2025-03-13,15:45,16:30,SHORT,2948.39,2954.35,2936.47,2954.35,5.96,27.48,163.75,-163.75,-1,LOSS,LOSS,45,10753.21
24,2025-03-18,14:20,14:40,SHORT,3028.15,3033.36,3017.73,3033.36,5.21,30.96,161.3,-161.3,-1,LOSS,LOSS,20,10591.91
25,2025-03-21,13:50,15:35,SHORT,3033.27,3039.37,3021.07,3021.07,6.1,26.05,158.88,317.76,2,WIN,WIN,105,10909.67
26,2025-04-03,13:10,13:25,LONG,3119.32,3110.08,3137.8,3110.08,9.24,17.71,163.65,-163.65,-1,LOSS,LOSS,15,10746.03
27,2025-04-04,13:35,14:05,SHORT,3108.27,3116.49,3091.83,3116.49,8.22,19.61,161.19,-161.19,-1,LOSS,LOSS,30,10584.84
28,2025-05-09,14:30,16:25,SHORT,3326.66,3337.02,3305.94,3337.02,10.36,15.33,158.77,-158.77,-1,LOSS,LOSS,115,10426.06
29,2025-05-12,13:45,13:55,LONG,3214.35,3208.59,3225.87,3208.59,5.76,27.15,156.39,-156.39,-1,LOSS,LOSS,10,10269.67
30,2025-05-22,13:05,13:25,LONG,3304.77,3299.65,3315.01,3299.65,5.12,30.09,154.05,-154.05,-1,LOSS,LOSS,20,10115.63
31,2025-06-04,15:25,17:05,LONG,3349.71,3342.39,3364.35,3364.35,7.32,20.73,151.73,303.47,2,WIN,WIN,100,10419.1
32,2025-06-05,15:45,17:45,SHORT,3383.08,3397.54,3354.16,3367.19,14.46,10.81,156.29,171.74,1.1,WIN,TIME_EXIT,120,10590.84
33,2025-06-06,15:30,15:40,LONG,3357,3347.45,3376.1,3347.45,9.55,16.63,158.86,-158.86,-1,LOSS,LOSS,10,10431.97
34,2025-06-11,15:05,15:30,LONG,3331.79,3325.25,3344.87,3344.87,6.54,23.93,156.48,312.96,2,WIN,WIN,25,10744.93
35,2025-06-12,14:35,15:30,SHORT,3373.28,3384.56,3350.72,3384.56,11.28,14.29,161.17,-161.17,-1,LOSS,LOSS,55,10583.76
36,2025-07-07,13:45,15:45,LONG,3302.92,3294.45,3319.86,3310.99,8.47,18.74,158.76,151.26,0.95,WIN,TIME_EXIT,120,10735.02
