TradeNum,Date,EntryTime,ExitTime,Type,EntryPrice,SLPrice,TPPrice,ExitPrice,RiskUSD,PnLUSD,RMultiple,Result,ExitReason,DurationMins,RunningBalance
1,2024-08-02,16:35,17:00,SHORT,2465.55,2473.28,2450.09,2473.28,77.3,-77.3,-1,LOSS,LOSS,25,9922.7
2,2024-08-06,16:35,17:30,LONG,2395.54,2388.29,2410.04,2388.29,72.5,-72.5,-1,LOSS,LOSS,55,9850.2
3,2024-08-09,16:40,17:15,SHORT,2422.64,2430.93,2406.06,2430.93,82.9,-82.9,-1,LOSS,LOSS,35,9767.3
4,2024-08-20,16:35,16:50,SHORT,2523.41,2529.78,2510.67,2529.78,63.7,-63.7,-1,LOSS,LOSS,15,9703.6
5,2024-08-21,16:30,16:40,LONG,2504.73,2499.56,2515.07,2499.56,51.7,-51.7,-1,LOSS,LOSS,10,9651.9
6,2024-08-28,16:40,18:40,LONG,2503.84,2497.3,2516.92,2508.23,65.4,43.9,0.67,WIN,TIME_EXIT,120,9695.8
7,2024-09-03,15:05,16:35,LONG,2493.79,2485.69,2509.99,2485.69,81,-81,-1,LOSS,LOSS,90,9614.8
8,2024-09-05,16:30,17:00,SHORT,2516.97,2521.27,2508.37,2508.37,43,86,2,WIN,WIN,30,9700.8
9,2024-09-06,15:30,16:35,LONG,2525.05,2505.85,2563.45,2505.85,192,-192,-1,LOSS,LOSS,65,9508.8
10,2024-09-17,15:40,17:40,LONG,2573.2,2566.94,2585.72,2572.31,62.6,-8.9,-0.14,LOSS,TIME_EXIT,120,9499.9
11,2024-09-18,16:30,18:30,SHORT,2575.44,2580.45,2565.42,2572.55,50.1,28.9,0.58,WIN,TIME_EXIT,120,9528.8
12,2024-09-26,15:35,15:45,SHORT,2670.38,2676.46,2658.22,2676.46,60.8,-60.8,-1,LOSS,LOSS,10,9468
13,2024-10-07,14:55,15:30,SHORT,2656.79,2661.61,2647.15,2647.15,48.2,96.4,2,WIN,WIN,35,9564.4
14,2024-10-08,14:10,14:40,SHORT,2646.32,2650.71,2637.54,2650.71,43.9,-43.9,-1,LOSS,LOSS,30,9520.5
15,2024-10-10,16:25,16:40,SHORT,2617.62,2622.54,2607.78,2622.54,49.2,-49.2,-1,LOSS,LOSS,15,9471.3
16,2024-10-11,15:35,16:35,SHORT,2643.03,2651.3,2626.49,2651.3,82.7,-82.7,-1,LOSS,LOSS,60,9388.6
