TradeNum,Date,EntryTime,ExitTime,Type,EntryPrice,SLPrice,TPPrice,ExitPrice,RiskUSD,PnLUSD,RMultiple,Result,ExitReason,DurationMins,RunningBalance
1,2024-08-06,15:35,16:05,LONG,2395.64,2390.57,2404.51,2390.57,50.7,-50.7,-1,LOSS,LOSS,30,9949.3
2,2024-08-15,16:30,16:40,LONG,2450.42,2444.53,2460.73,2444.53,58.9,-58.9,-1,LOSS,LOSS,10,9890.4
3,2024-08-21,16:30,16:40,LONG,2504.73,2499.56,2513.78,2499.56,51.7,-51.7,-1,LOSS,LOSS,10,9838.7
4,2024-08-22,15:30,16:20,LONG,2500.56,2493.19,2513.46,2493.19,73.7,-73.7,-1,LOSS,LOSS,50,9765
5,2024-08-28,16:40,18:10,LONG,2503.84,2497.3,2515.28,2506.59,65.4,27.5,0.42,WIN,TIME_EXIT,90,9792.5
6,2024-09-26,15:35,15:45,SHORT,2670.38,2676.46,2659.74,2676.46,60.8,-60.8,-1,LOSS,LOSS,10,9731.7
7,2024-10-09,16:35,18:05,LONG,2609.28,2604.73,2617.24,2614.98,45.5,57,1.25,WIN,TIME_EXIT,90,9788.7
8,2024-10-10,15:35,15:45,SHORT,2618.01,2626.43,2603.28,2626.43,84.2,-84.2,-1,LOSS,LOSS,10,9704.5
9,2024-11-01,16:50,18:20,LONG,2745.55,2738.94,2757.12,2743.52,66.1,-20.3,-0.31,LOSS,TIME_EXIT,90,9684.2
10,2024-11-08,16:30,17:10,SHORT,2695.83,2701.81,2685.36,2685.36,59.8,104.65,1.75,WIN,WIN,40,9788.85
11,2024-11-13,15:40,16:10,SHORT,2609.26,2615.69,2598.01,2615.69,64.3,-64.3,-1,LOSS,LOSS,30,9724.55
12,2024-11-29,16:45,18:15,LONG,2656.32,2649.86,2667.63,2660.53,64.6,42.1,0.65,WIN,TIME_EXIT,90,9766.65
13,2024-12-06,15:30,16:05,LONG,2636.91,2629.01,2650.73,2629.01,79,-79,-1,LOSS,LOSS,35,9687.65
14,2024-12-11,15:35,16:00,SHORT,2697.82,2703.96,2687.08,2703.96,61.4,-61.4,-1,LOSS,LOSS,25,9626.25
15,2024-12-13,14:00,15:00,LONG,2665.19,2660.79,2672.89,2672.89,44,77,1.75,WIN,WIN,60,9703.25
16,2024-12-16,13:30,15:00,SHORT,2661.86,2666.15,2654.35,2663.07,42.9,-12.1,-0.28,LOSS,TIME_EXIT,90,9691.15
17,2025-01-10,15:40,16:30,LONG,2675.95,2666.55,2692.4,2692.4,94,164.5,1.75,WIN,WIN,50,9855.65
18,2025-01-14,15:35,17:05,LONG,2665.49,2658.66,2677.44,2668.95,68.3,34.6,0.51,WIN,TIME_EXIT,90,9890.25
19,2025-01-15,15:30,16:00,SHORT,2687.94,2695.28,2675.09,2695.28,73.4,-73.4,-1,LOSS,LOSS,30,9816.85
20,2025-01-27,16:30,17:00,LONG,2748.68,2742.95,2758.71,2742.95,57.3,-57.3,-1,LOSS,LOSS,30,9759.55
21,2025-02-07,15:30,16:40,LONG,2860.38,2850.39,2877.86,2877.86,99.9,174.83,1.75,WIN,WIN,70,9934.38
22,2025-02-25,15:00,16:00,LONG,2929.63,2924.24,2939.06,2939.06,53.9,94.33,1.75,WIN,WIN,60,10028.7
23,2025-03-07,15:35,16:55,SHORT,2918.12,2928.37,2900.18,2928.37,102.5,-102.5,-1,LOSS,LOSS,80,9926.2
24,2025-05-09,16:00,16:25,SHORT,3332.06,3338.44,3320.89,3338.44,63.8,-63.8,-1,LOSS,LOSS,25,9862.4
25,2025-05-13,16:40,16:55,LONG,3238.14,3230.27,3251.91,3230.27,78.7,-78.7,-1,LOSS,LOSS,15,9783.7
26,2025-05-22,13:05,13:25,LONG,3304.77,3299.65,3313.73,3299.65,51.2,-51.2,-1,LOSS,LOSS,20,9732.5
27,2025-06-03,15:20,16:45,LONG,3353.38,3347.08,3364.41,3347.08,63,-63,-1,LOSS,LOSS,85,9669.5
28,2025-06-04,15:25,16:05,LONG,3349.71,3342.39,3362.52,3362.52,73.2,128.1,1.75,WIN,WIN,40,9797.6
29,2025-06-06,15:30,15:40,LONG,3357,3347.45,3373.71,3347.45,95.5,-95.5,-1,LOSS,LOSS,10,9702.1
30,2025-06-11,16:45,18:15,LONG,3332.55,3325.73,3344.49,3341.41,68.2,88.6,1.3,WIN,TIME_EXIT,90,9790.7
31,2025-07-01,16:35,16:55,SHORT,3346.85,3352.48,3337,3352.48,56.3,-56.3,-1,LOSS,LOSS,20,9734.4
32,2025-07-08,16:15,16:45,LONG,3321.98,3317.08,3330.56,3317.08,49,-49,-1,LOSS,LOSS,30,9685.4
