TradeNum,Date,EntryTime,ExitTime,Type,EntryPrice,InitialSL,FinalSL,HardTP,ExitPrice,RiskPerOz,LotOunces,RiskUSD,PnLUSD,RMultiple,Result,BELocked,DurationMins,RunningBalance
1,2024-08-01,07:25,08:10,LONG,2445.67,2442.81,2442.81,2449.39,2444.07,2.86,34.97,100,-55.94,-0.56,LOSS,NO,45,9944.06
2,2024-08-01,08:10,08:20,SHORT,2444.07,2446.74,2446.74,2440.6,2446.74,2.67,37.24,99.44,-99.44,-1,LOSS,NO,10,9844.62
3,2024-08-01,09:00,09:05,SHORT,2447.47,2450.25,2447.27,2443.86,2447.27,2.78,35.41,98.45,7.08,0.07,WIN,YES,5,9851.7
4,2024-08-01,09:35,10:00,LONG,2446.21,2443.7,2443.7,2449.47,2443.7,2.51,39.25,98.52,-98.52,-1,LOSS,NO,25,9753.18
5,2024-08-01,10:15,11:00,SHORT,2442.65,2445.49,2442.29,2438.96,2439.94,2.84,34.34,97.53,93.07,0.95,WIN,YES,45,9846.25
6,2024-08-01,10:50,11:25,LONG,2441.39,2438.37,2438.37,2445.32,2438.37,3.02,32.6,98.46,-98.46,-1,LOSS,NO,35,9747.79
7,2024-08-01,11:30,11:35,LONG,2437.09,2434.3,2434.3,2440.72,2434.3,2.79,34.94,97.48,-97.48,-1,LOSS,NO,5,9650.31
8,2024-08-01,12:10,12:55,SHORT,2433.16,2436.45,2432.96,2428.88,2432.96,3.29,29.33,96.5,5.87,0.06,WIN,YES,45,9656.17
9,2024-08-01,12:50,13:15,LONG,2431.72,2428.62,2432.85,2435.75,2435.75,3.1,31.15,96.56,125.53,1.3,WIN,YES,25,9781.7
10,2024-08-01,13:25,14:10,LONG,2435.67,2433.89,2433.89,2437.98,2435.57,1.78,54.95,97.82,-5.5,-0.06,LOSS,NO,45,9776.21
11,2024-08-01,14:00,14:25,SHORT,2434.74,2437.24,2437.24,2431.49,2437.24,2.5,39.1,97.76,-97.76,-1,LOSS,NO,25,9678.45
12,2024-08-01,14:35,14:50,SHORT,2436.95,2439.56,2439.56,2433.56,2439.56,2.61,37.08,96.78,-96.78,-1,LOSS,NO,15,9581.66
13,2024-08-01,15:40,16:25,LONG,2453.03,2447.6,2447.6,2460.09,2453.39,5.43,17.65,95.82,6.35,0.07,WIN,NO,45,9588.02
14,2024-08-01,16:15,16:25,LONG,2452.41,2449.2,2452.61,2456.58,2452.61,3.21,29.87,95.88,5.97,0.06,WIN,YES,10,9593.99
15,2024-08-01,16:50,17:00,LONG,2452.59,2447.33,2452.79,2459.43,2459.43,5.26,18.24,95.94,124.72,1.3,WIN,YES,10,9718.71
16,2024-08-02,07:05,07:35,LONG,2454.97,2452.76,2455.71,2457.84,2457.84,2.21,43.98,97.19,126.34,1.3,WIN,YES,30,9845.05
17,2024-08-02,07:45,08:30,LONG,2459.7,2456.9,2456.9,2463.34,2460,2.8,35.16,98.45,10.55,0.11,WIN,NO,45,9855.6
18,2024-08-02,08:25,08:30,SHORT,2458.38,2460.33,2460.33,2455.85,2460.33,1.95,50.54,98.56,-98.56,-1,LOSS,NO,5,9757.05
19,2024-08-02,09:10,09:35,LONG,2465.03,2461.79,2465.23,2469.24,2465.23,3.24,30.11,97.57,6.02,0.06,WIN,YES,25,9763.07
20,2024-08-02,09:45,10:00,LONG,2464.05,2461.01,2464.25,2468,2464.25,3.04,32.12,97.63,6.42,0.07,WIN,YES,15,9769.49
21,2024-08-02,10:30,10:50,LONG,2463.5,2460.76,2460.76,2467.06,2460.76,2.74,35.66,97.69,-97.69,-1,LOSS,NO,20,9671.8
