Date,Time,Open,High,Low,Close,Volume
2026-05-28,04:00,4404.20,4407.40,4398.90,4404.40,0
2026-05-28,04:05,4405.00,4411.80,4404.00,4410.70,457
2026-05-28,04:10,4410.70,4411.60,4405.40,4405.80,241
2026-05-28,04:15,4405.80,4407.00,4398.80,4399.00,247
2026-05-28,04:20,4399.00,4403.40,4395.60,4401.20,338
2026-05-28,04:25,4400.80,4401.70,4396.50,4398.10,266
2026-05-28,04:30,4398.20,4402.00,4398.20,4400.80,191
2026-05-28,04:35,4401.40,4403.40,4399.90,4401.50,179
2026-05-28,04:40,4401.70,4404.50,4400.30,4403.60,319
2026-05-28,04:45,4403.20,4404.50,4398.50,4398.90,312
2026-05-28,04:50,4399.10,4402.00,4397.40,4400.40,241
2026-05-28,04:55,4400.50,4403.90,4400.50,4402.20,255
2026-05-28,05:00,4402.70,4403.40,4396.10,4399.00,660
2026-05-28,05:05,4398.80,4403.10,4397.10,4400.80,289
2026-05-28,05:10,4400.90,4406.30,4400.70,4404.10,358
2026-05-28,05:15,4404.40,4405.20,4400.70,4403.30,286
2026-05-28,05:20,4402.80,4406.50,4400.70,4406.00,168
2026-05-28,05:25,4406.00,4409.00,4405.60,4407.30,343
2026-05-28,05:30,4407.70,4417.00,4403.70,4415.40,951
2026-05-28,05:35,4415.60,4420.10,4415.10,4420.00,437
2026-05-28,05:40,4420.20,4422.50,4417.90,4418.60,618
2026-05-28,05:45,4418.90,4423.80,4418.90,4421.30,426
2026-05-28,05:50,4421.50,4425.50,4419.80,4422.30,357
2026-05-28,05:55,4422.60,4422.70,4416.70,4417.10,394
2026-05-28,06:00,4417.20,4419.90,4414.90,4417.00,520
2026-05-28,06:05,4416.60,4417.00,4408.00,4409.20,718
2026-05-28,06:10,4409.50,4411.00,4403.90,4405.30,627
2026-05-28,06:15,4405.70,4410.10,4403.80,4409.10,408
2026-05-28,06:20,4409.10,4414.50,4409.10,4411.50,547
2026-05-28,06:25,4411.70,4414.30,4409.60,4410.20,343
2026-05-28,06:30,4409.60,4414.60,4408.80,4412.50,274
2026-05-28,06:35,4412.60,4415.00,4411.50,4411.50,186
2026-05-28,06:40,4412.20,4413.40,4406.70,4409.80,500
2026-05-28,06:45,4409.80,4414.40,4408.90,4412.90,281
2026-05-28,06:50,4412.90,4413.80,4410.90,4412.50,157
2026-05-28,06:55,4413.00,4414.30,4411.40,4413.30,176
2026-05-28,07:00,4413.60,4419.40,4413.60,4416.80,571
2026-05-28,07:05,4416.90,4422.20,4416.40,4421.60,413
2026-05-28,07:10,4421.30,4421.30,4416.50,4418.60,256
2026-05-28,07:15,4418.80,4425.00,4415.80,4424.00,416
2026-05-28,07:20,4423.80,4426.00,4422.90,4423.70,769
2026-05-28,07:25,4424.00,4426.00,4421.20,4422.40,574
2026-05-28,07:30,4422.40,4423.70,4418.70,4418.70,372
2026-05-28,07:35,4419.20,4422.30,4418.10,4418.80,378
2026-05-28,07:40,4418.70,4419.70,4414.90,4418.60,435
2026-05-28,07:45,4419.30,4420.60,4415.90,4417.70,552
2026-05-28,07:50,4417.90,4419.10,4412.40,4415.20,488
2026-05-28,07:55,4415.40,4418.40,4413.30,4417.20,344
2026-05-28,08:00,4417.50,4422.90,4415.90,4416.90,500
2026-05-28,08:05,4417.30,4423.30,4416.00,4423.20,275
2026-05-28,08:10,4423.40,4424.80,4421.20,4422.50,290
2026-05-28,08:15,4422.90,4424.40,4420.40,4421.40,283
2026-05-28,08:20,4421.20,4424.00,4420.90,4422.00,309
2026-05-28,08:25,4422.70,4423.20,4417.00,4418.90,276
2026-05-28,08:30,4419.00,4421.90,4415.80,4421.90,311
2026-05-28,08:35,4422.40,4424.40,4419.80,4421.20,495
2026-05-28,08:40,4421.40,4422.90,4419.40,4419.90,223
2026-05-28,08:45,4419.80,4421.00,4416.70,4420.80,354
2026-05-28,08:50,4420.80,4421.40,4417.80,4418.40,221
2026-05-28,08:55,4417.70,4418.60,4415.60,4416.80,197
2026-05-28,09:00,4416.30,4420.90,4416.10,4419.20,286
2026-05-28,09:05,4419.40,4421.30,4417.80,4419.90,360
2026-05-28,09:10,4419.70,4420.50,4416.30,4419.30,308
2026-05-28,09:15,4419.00,4422.00,4418.40,4420.00,274
2026-05-28,09:20,4419.90,4429.00,4419.80,4425.10,873
2026-05-28,09:25,4425.00,4427.60,4423.40,4426.20,344
2026-05-28,09:30,4426.00,4426.80,4421.60,4423.10,629
2026-05-28,09:35,4423.30,4426.00,4421.80,4422.50,251
2026-05-28,09:40,4422.50,4423.20,4420.30,4421.20,202
2026-05-28,09:45,4421.50,4423.50,4419.90,4423.20,178
2026-05-28,09:50,4422.70,4426.60,4422.70,4424.80,211
2026-05-28,09:55,4424.80,4426.20,4423.20,4424.00,198
2026-05-28,10:00,4424.10,4425.20,4421.80,4423.60,304
2026-05-28,10:05,4423.90,4432.10,4423.80,4431.80,521
2026-05-28,10:10,4432.00,4434.30,4428.50,4429.40,497
2026-05-28,10:15,4429.80,4431.00,4428.30,4429.60,148
2026-05-28,10:20,4429.60,4429.60,4423.90,4426.00,356
2026-05-28,10:25,4425.80,4432.70,4425.80,4431.60,249
2026-05-28,10:30,4431.10,4432.60,4428.70,4428.70,149
2026-05-28,10:35,4429.20,4430.20,4427.50,4428.60,199
2026-05-28,10:40,4428.80,4428.80,4418.00,4419.30,720
2026-05-28,10:45,4419.00,4419.20,4410.00,4411.10,648
2026-05-28,10:50,4411.20,4415.90,4405.50,4412.70,1329
2026-05-28,10:55,4412.70,4417.60,4412.30,4413.60,843
2026-05-28,11:00,4413.00,4419.50,4412.00,4418.70,478
2026-05-28,11:05,4418.90,4419.50,4415.70,4416.80,288
2026-05-28,11:10,4416.90,4419.00,4415.50,4417.30,154
