Date,Open,High,Low,Close,Volume
2025-08-07,3384.90,3422.90,3384.90,3400.30,5464
2025-08-08,3438.80,3477.00,3402.50,3439.10,7657
2025-08-11,3383.90,3383.90,3349.20,3353.10,1488
2025-08-12,3356.20,3356.20,3330.10,3348.90,1611
2025-08-13,3358.80,3363.40,3358.70,3358.70,1011
2025-08-14,3346.80,3356.00,3328.90,3335.20,592
2025-08-15,3346.80,3346.80,3335.90,3336.00,1185
2025-08-18,3333.50,3347.80,3331.70,3331.70,646
2025-08-19,3330.20,3343.50,3313.40,3313.40,1655
2025-08-20,3310.60,3343.50,3310.10,3343.40,1213
2025-08-21,3349.40,3349.40,3326.50,3336.90,142
2025-08-22,3349.40,3377.70,3349.40,3374.40,1240
2025-08-25,3366.00,3378.00,3366.00,3373.80,1044
2025-08-26,3378.90,3396.50,3371.10,3388.60,905
2025-08-27,3397.00,3404.60,3382.00,3404.60,3222
2025-08-28,3409.00,3434.60,3400.00,3431.80,1035
2025-08-29,3432.50,3475.60,3426.60,3473.70,0
2025-09-02,3485.70,3559.20,3485.70,3549.40,658
2025-09-03,3554.80,3593.70,3553.20,3593.20,72
2025-09-04,3549.90,3573.60,3549.90,3565.80,237
2025-09-05,3567.80,3613.20,3567.80,3613.20,925
2025-09-08,3594.50,3641.00,3590.00,3638.10,97
2025-09-09,3647.10,3670.40,3627.80,3643.30,535
2025-09-10,3625.00,3655.40,3620.80,3643.60,136
2025-09-11,3632.90,3636.90,3618.40,3636.90,307
2025-09-12,3655.50,3656.80,3643.00,3649.40,1300
2025-09-15,3640.00,3686.40,3635.10,3682.20,210
2025-09-16,3681.40,3698.60,3681.40,3688.90,373
2025-09-17,3669.00,3685.20,3661.60,3681.80,183
2025-09-18,3654.60,3667.40,3637.00,3643.70,80
2025-09-19,3659.00,3685.90,3658.20,3671.50,211
2025-09-22,3688.20,3748.20,3688.00,3740.70,410
2025-09-23,3747.00,3786.00,3740.00,3780.60,627
2025-09-24,3769.80,3772.50,3732.10,3732.10,588
2025-09-25,3742.80,3756.00,3724.70,3736.90,1899
2025-09-26,3775.30,3775.30,3775.30,3775.30,19308
2025-09-29,3754.80,3827.60,3754.80,3820.90,8860
2025-09-30,3827.50,3865.50,3793.40,3840.80,1611
2025-10-01,3863.50,3891.90,3853.30,3867.50,1778
2025-10-02,3856.20,3888.60,3823.70,3839.70,3418
2025-10-03,3855.20,3886.80,3853.70,3880.80,392
2025-10-06,3931.30,3960.00,3926.80,3948.50,1267
2025-10-07,3959.40,3981.50,3940.00,3976.60,2903
2025-10-08,3987.20,4049.20,3987.20,4043.30,2179
2025-10-09,4011.20,4046.20,3940.00,3946.30,3130
2025-10-10,3957.00,4012.00,3945.50,3975.90,1697
2025-10-13,4016.00,4111.00,4016.00,4108.60,1697
2025-10-14,4131.70,4160.10,4085.80,4138.70,2424
2025-10-15,4145.00,4210.60,4145.00,4176.90,3287
2025-10-16,4198.80,4307.00,4196.60,4280.20,4705
2025-10-17,4354.70,4358.00,4182.20,4189.90,4060
2025-10-20,4244.10,4356.60,4214.60,4336.40,1750
2025-10-21,4332.70,4332.70,4087.70,4087.70,2943
2025-10-22,4109.70,4148.50,4006.00,4044.40,1237
2025-10-23,4078.40,4136.80,4070.70,4125.50,354
2025-10-24,4117.50,4120.60,4074.90,4118.40,123
2025-10-27,4060.00,4078.60,3971.30,4001.90,220
2025-10-28,3929.70,3966.20,3923.60,3966.20,219
2025-10-29,3983.70,3983.70,3983.70,3983.70,1344
2025-10-30,3960.00,4027.20,3913.70,4001.30,935
2025-10-31,4034.50,4034.50,3976.60,3982.20,559
2025-11-03,3976.20,4020.00,3959.00,4000.30,0
2025-11-04,3994.20,3995.40,3927.40,3947.70,657
2025-11-05,3929.90,3983.50,3929.90,3980.30,559
2025-11-06,4004.00,4007.50,3979.90,3979.90,650
2025-11-07,3980.80,3999.40,3980.80,3999.40,245
2025-11-10,4060.00,4111.80,4060.00,4111.80,189
2025-11-11,4140.10,4140.10,4106.80,4106.80,569
2025-11-12,4115.60,4204.40,4102.90,4204.40,396
2025-11-13,4228.70,4228.70,4163.70,4186.90,167
2025-11-14,4197.70,4197.90,4047.00,4087.60,483
2025-11-17,4070.00,4099.50,4019.40,4068.30,1552
2025-11-18,4037.40,4063.40,4035.60,4061.30,1375
2025-11-19,4086.10,4122.70,4072.00,4077.70,486
2025-11-20,4045.00,4090.40,4040.20,4056.50,202
2025-11-21,4031.80,4085.20,4031.80,4076.70,171
2025-11-24,4060.50,4091.90,4060.50,4091.90,591
2025-11-25,4139.20,4139.20,4139.20,4139.20,132704
2025-11-26,4128.60,4171.00,4127.50,4165.20,25088
2025-11-28,4163.40,4223.90,4140.00,4218.30,3615
2025-12-01,4218.50,4262.10,4214.90,4239.30,913
2025-12-02,4230.50,4230.50,4167.00,4186.60,366
2025-12-03,4215.70,4234.10,4195.70,4199.30,1897
2025-12-04,4211.00,4211.80,4175.00,4211.80,616
2025-12-05,4204.10,4255.70,4194.50,4212.90,533
2025-12-08,4205.50,4215.80,4175.50,4187.20,318
2025-12-09,4190.70,4219.70,4177.70,4206.70,660
2025-12-10,4209.00,4234.50,4183.60,4196.40,692
2025-12-11,4224.00,4286.90,4214.30,4285.50,528
2025-12-12,4276.40,4355.00,4260.00,4300.10,1531
2025-12-15,4308.30,4349.20,4292.90,4306.70,854
2025-12-16,4270.50,4321.40,4270.50,4304.50,1796
2025-12-17,4308.50,4351.40,4308.50,4347.50,2169
2025-12-18,4331.00,4348.10,4328.20,4339.50,705
2025-12-19,4350.10,4361.40,4350.10,4361.40,1065
2025-12-22,4371.10,4447.60,4371.10,4444.60,449
2025-12-23,4503.30,4503.80,4450.40,4482.80,694
2025-12-24,4500.70,4503.40,4468.40,4480.60,500
2025-12-26,4512.00,4556.30,4502.00,4529.10,263
2025-12-29,4371.50,4379.00,4325.10,4325.10,2044
2025-12-30,4346.40,4403.60,4338.00,4370.10,1837
2025-12-31,4333.50,4363.80,4285.00,4325.60,785
2026-01-02,4350.60,4350.60,4314.40,4314.40,589
2026-01-05,4386.70,4443.50,4384.80,4436.90,618
2026-01-06,4449.70,4482.20,4449.00,4482.20,459
2026-01-07,4450.00,4450.00,4449.30,4449.30,972
2026-01-08,4460.20,4461.30,4418.00,4449.70,2423
2026-01-09,4473.00,4490.30,4473.00,4490.30,237
2026-01-12,4579.10,4620.00,4577.80,4604.30,156
2026-01-13,4578.60,4617.10,4578.60,4589.20,239
2026-01-14,4610.30,4635.00,4608.20,4626.30,1313
2026-01-15,4612.90,4616.30,4612.90,4616.30,4358
2026-01-16,4608.00,4608.00,4588.40,4588.40,352
2026-01-20,4662.20,4764.00,4661.80,4759.60,175
2026-01-21,4863.50,4872.30,4771.50,4831.80,1706
2026-01-22,4791.90,4908.80,4791.90,4908.80,1175
2026-01-23,4949.60,4976.20,4936.00,4976.20,169
2026-01-26,5081.50,5095.60,5052.20,5079.70,180
2026-01-27,5079.90,5079.90,5079.90,5079.90,34
2026-01-28,5301.60,5301.60,5301.60,5301.60,112054
2026-01-29,5415.70,5586.20,5097.50,5318.40,23709
2026-01-30,5376.40,5440.50,4700.00,4713.90,8374
2026-02-02,4807.70,4855.80,4400.00,4622.50,3588
2026-02-03,4680.00,4984.60,4674.30,4903.70,1213
2026-02-04,4923.30,5082.20,4897.90,4920.40,3886
2026-02-05,5008.70,5012.30,4786.00,4861.40,793
2026-02-06,4762.00,4958.50,4655.00,4951.20,1386
2026-02-09,5017.40,5065.70,4979.10,5050.90,170
2026-02-10,5013.50,5029.00,5002.70,5003.80,281
2026-02-11,5049.90,5111.30,5041.30,5071.60,2681
2026-02-12,5060.40,5078.10,4892.00,4923.70,484
2026-02-13,4953.00,5043.90,4946.20,5022.00,232
2026-02-17,5020.00,5020.00,4847.80,4882.90,540
2026-02-18,4872.20,4987.00,4869.50,4986.50,544
2026-02-19,5014.70,5014.70,4975.90,4975.90,37
2026-02-20,5039.50,5072.70,5039.50,5059.30,134
2026-02-23,5120.30,5211.60,5120.30,5204.70,779
2026-02-24,5158.80,5159.00,5112.70,5155.80,88
2026-02-25,5166.00,5206.40,5166.00,5206.40,1772
2026-02-26,5177.20,5199.20,5143.90,5176.50,1520
2026-02-27,5186.70,5280.00,5176.70,5230.50,354
2026-03-02,5346.60,5405.00,5266.30,5294.40,72
2026-03-03,5298.70,5303.80,5023.00,5107.40,1776
2026-03-04,5130.70,5180.20,5117.20,5120.20,679
2026-03-05,5169.50,5169.50,5054.70,5065.30,1701
2026-03-06,5121.00,5146.10,5076.10,5146.10,148
2026-03-09,5155.00,5160.60,5077.70,5091.50,639
2026-03-10,5138.20,5229.70,5137.60,5229.70,4300
2026-03-11,5190.80,5191.30,5167.40,5167.40,633
2026-03-12,5137.20,5137.20,5115.80,5115.80,410
2026-03-13,5089.60,5117.00,5009.50,5052.50,479
2026-03-16,5001.60,5010.60,4994.00,4994.00,130
2026-03-17,5017.60,5017.60,4994.20,5001.00,239
2026-03-18,4949.60,4949.60,4821.70,4889.90,1461
2026-03-19,4830.30,4830.30,4554.00,4600.70,627
2026-03-20,4686.90,4686.90,4570.40,4570.40,235
2026-03-23,4353.00,4480.40,4100.80,4404.10,544
2026-03-24,4338.70,4399.30,4325.20,4399.30,378
2026-03-25,4549.00,4551.90,4541.80,4549.80,388
