TradeNum,Date,ExitDate,Type,LevelType,EntryPrice,InitialSL,FinalSL,HardTP,ExitPrice,StandardLots,RiskUSD,PnLUSD,RMultiple,Result,ExitReason,BELocked,RunningBalance
1,2026-02-03 14:00,2026-02-05 18:00,LONG,SUPPORT BOUNCE,1.17785,1.17535,1.17797,1.1841,1.17797,"4.00 Lots (400000 units)",1000,48,0.05,WIN,"TRAILING SL HIT",YES,10048
2,2026-02-06 02:00,2026-02-09 06:00,LONG,SUPPORT BOUNCE,1.17825,1.17575,1.17837,1.1845,1.1845,"4.02 Lots (401920 units)",1004.8,2512,2.5,WIN,"HARD TP HIT",YES,12560
3,2026-02-10 14:00,2026-02-11 06:00,SHORT,RESISTANCE BOUNCE,1.19243,1.19493,1.1923,1.18618,1.1923,"5.02 Lots (502400 units)",1256,65.31,0.05,WIN,"TRAILING SL HIT",YES,12625.31
4,2026-02-11 10:00,2026-02-17 02:00,LONG,SUPPORT BOUNCE,1.18375,1.18125,1.18388,1.19,1.18388,"5.05 Lots (505012 units)",1262.53,65.65,0.05,WIN,"TRAILING SL HIT",YES,12690.96
5,2026-02-17 06:00,2026-02-17 14:00,LONG,SUPPORT BOUNCE,1.18357,1.18107,1.18107,1.18982,1.18107,"5.08 Lots (507638 units)",1269.1,-1269.1,-1,LOSS,"INITIAL SL HIT",NO,11421.86
6,2026-02-17 22:00,2026-02-18 06:00,LONG,SUPPORT BOUNCE,1.18549,1.18299,1.18299,1.19174,1.18299,"4.57 Lots (456874 units)",1142.19,-1142.19,-1,LOSS,"INITIAL SL HIT",NO,10279.67
7,2026-02-18 10:00,2026-02-19 10:00,SHORT,RESISTANCE BOUNCE,1.18355,1.18605,1.18342,1.1773,1.1773,"4.11 Lots (411187 units)",1027.97,2569.92,2.5,WIN,"HARD TP HIT",YES,12849.59
8,2026-02-19 18:00,2026-02-20 14:00,LONG,SUPPORT BOUNCE,1.17681,1.17431,1.17694,1.18306,1.17694,"5.14 Lots (513984 units)",1284.96,66.82,0.05,WIN,"TRAILING SL HIT",YES,12916.41
9,2026-02-22 22:00,2026-02-25 22:00,SHORT,RESISTANCE BOUNCE,1.18193,1.18443,1.1818,1.17568,1.1818,"5.17 Lots (516656 units)",1291.64,67.17,0.05,WIN,"TRAILING SL HIT",YES,12983.58
10,2026-02-26 06:00,2026-02-26 14:00,LONG,SUPPORT BOUNCE,1.18075,1.17825,1.17825,1.187,1.17825,"5.19 Lots (519343 units)",1298.36,-1298.36,-1,LOSS,"INITIAL SL HIT",NO,11685.22
11,2026-02-26 18:00,2026-03-02 06:00,SHORT,RESISTANCE BOUNCE,1.18052,1.18302,1.1804,1.17427,1.17427,"4.67 Lots (467409 units)",1168.52,2921.31,2.5,WIN,"HARD TP HIT",YES,14606.53
12,2026-03-06 10:00,2026-03-06 14:00,LONG,SUPPORT BOUNCE,1.15615,1.15365,1.15627,1.1624,1.15627,"5.84 Lots (584261 units)",1460.65,70.11,0.05,WIN,"TRAILING SL HIT",YES,14676.64
13,2026-03-06 18:00,2026-03-08 21:00,SHORT,RESISTANCE BOUNCE,1.16187,1.16437,1.16175,1.15562,1.15562,"5.87 Lots (587066 units)",1467.66,3669.16,2.5,WIN,"HARD TP HIT",YES,18345.8
14,2026-03-09 09:00,2026-03-09 13:00,LONG,SUPPORT BOUNCE,1.15328,1.15078,1.15341,1.15953,1.15953,"7.34 Lots (733832 units)",1834.58,4586.45,2.5,WIN,"HARD TP HIT",YES,22932.25
15,2026-03-09 17:00,2026-03-09 21:00,SHORT,RESISTANCE BOUNCE,1.16189,1.16439,1.16439,1.15564,1.16439,"9.17 Lots (917290 units)",2293.22,-2293.22,-1,LOSS,"INITIAL SL HIT",NO,20639.03
