TradeNum,Date,ExitDate,Type,LevelType,EntryPrice,InitialSL,FinalSL,HardTP,ExitPrice,StandardLots,RiskUSD,PnLUSD,RMultiple,Result,ExitReason,BELocked,RunningBalance
1,2026-02-01 22:00,2026-02-02 02:00,SHORT,RESISTANCE BOUNCE,82.721,83.121,82.701,81.721,82.701,"0.50 Lots (2500 oz)",1000,50,0.05,WIN,"TRAILING SL HIT",YES,10050
2,2026-02-02 06:00,2026-02-02 10:00,LONG,SUPPORT BOUNCE,73.892,73.492,73.912,74.892,74.892,"0.50 Lots (2513 oz)",1005,2512.5,2.5,WIN,"HARD TP HIT",YES,12562.5
3,2026-02-03 02:00,2026-02-03 06:00,LONG,SUPPORT BOUNCE,83.477,83.077,83.497,84.477,83.497,"0.63 Lots (3141 oz)",1256.25,62.81,0.05,WIN,"TRAILING SL HIT",YES,12625.31
4,2026-02-03 14:00,2026-02-03 18:00,LONG,SUPPORT BOUNCE,86.909,86.509,86.509,87.909,86.509,"0.63 Lots (3156 oz)",1262.53,-1262.53,-1,LOSS,"INITIAL SL HIT",NO,11362.78
5,2026-02-04 06:00,2026-02-04 10:00,SHORT,RESISTANCE BOUNCE,89.127,89.527,89.527,88.127,89.527,"0.57 Lots (2841 oz)",1136.28,-1136.28,-1,LOSS,"INITIAL SL HIT",NO,10226.5
6,2026-02-04 14:00,2026-02-04 18:00,LONG,SUPPORT BOUNCE,90.385,89.985,89.985,91.385,89.985,"0.51 Lots (2557 oz)",1022.65,-1022.65,-1,LOSS,"INITIAL SL HIT",NO,9203.85
7,2026-02-05 02:00,2026-02-05 06:00,LONG,SUPPORT BOUNCE,82.776,82.376,82.376,83.776,82.376,"0.46 Lots (2301 oz)",920.38,-920.38,-1,LOSS,"INITIAL SL HIT",NO,8283.47
8,2026-02-05 18:00,2026-02-05 22:00,LONG,SUPPORT BOUNCE,71.366,70.966,70.966,72.366,70.966,"0.41 Lots (2071 oz)",828.35,-828.35,-1,LOSS,"INITIAL SL HIT",NO,7455.12
9,2026-02-11 06:00,2026-02-11 10:00,SHORT,RESISTANCE BOUNCE,83.983,84.383,83.963,82.983,83.963,"0.37 Lots (1864 oz)",745.51,37.28,0.05,WIN,"TRAILING SL HIT",YES,7492.4
10,2026-02-12 14:00,2026-02-12 18:00,SHORT,RESISTANCE BOUNCE,82.994,83.394,82.974,81.994,81.994,"0.37 Lots (1873 oz)",749.24,1873.1,2.5,WIN,"HARD TP HIT",YES,9365.5
11,2026-02-16 22:00,2026-02-17 02:00,LONG,SUPPORT BOUNCE,74.033,73.633,74.053,75.033,74.053,"0.47 Lots (2341 oz)",936.55,46.83,0.05,WIN,"TRAILING SL HIT",YES,9412.33
12,2026-02-19 02:00,2026-02-19 06:00,SHORT,RESISTANCE BOUNCE,78.296,78.696,78.696,77.296,78.696,"0.47 Lots (2353 oz)",941.23,-941.23,-1,LOSS,"INITIAL SL HIT",NO,8471.1
13,2026-02-20 06:00,2026-02-20 10:00,SHORT,RESISTANCE BOUNCE,79.309,79.709,79.709,78.309,79.709,"0.42 Lots (2118 oz)",847.11,-847.11,-1,LOSS,"INITIAL SL HIT",NO,7623.99
14,2026-02-20 14:00,2026-02-20 18:00,LONG,SUPPORT BOUNCE,80.022,79.622,80.042,81.022,81.022,"0.38 Lots (1906 oz)",762.4,1906,2.5,WIN,"HARD TP HIT",YES,9529.99
15,2026-02-22 22:00,2026-02-23 02:00,SHORT,RESISTANCE BOUNCE,86.272,86.672,86.672,85.272,86.672,"0.48 Lots (2382 oz)",953,-953,-1,LOSS,"INITIAL SL HIT",NO,8576.99
16,2026-02-25 02:00,2026-02-25 06:00,SHORT,RESISTANCE BOUNCE,88.997,89.397,89.397,87.997,89.397,"0.43 Lots (2144 oz)",857.7,-857.7,-1,LOSS,"INITIAL SL HIT",NO,7719.29
17,2026-02-25 18:00,2026-02-25 22:00,SHORT,RESISTANCE BOUNCE,91.207,91.607,91.187,90.207,90.207,"0.39 Lots (1930 oz)",771.93,1929.82,2.5,WIN,"HARD TP HIT",YES,9649.11
18,2026-02-26 14:00,2026-02-26 18:00,LONG,SUPPORT BOUNCE,85.447,85.047,85.467,86.447,86.447,"0.48 Lots (2412 oz)",964.91,2412.28,2.5,WIN,"HARD TP HIT",YES,12061.39
19,2026-02-27 10:00,2026-02-27 14:00,SHORT,RESISTANCE BOUNCE,92.155,92.555,92.135,91.155,92.135,"0.60 Lots (3015 oz)",1206.14,60.31,0.05,WIN,"TRAILING SL HIT",YES,12121.7
20,2026-03-02 22:00,2026-03-03 02:00,SHORT,RESISTANCE BOUNCE,91.242,91.642,91.222,90.242,90.242,"0.61 Lots (3030 oz)",1212.17,3030.42,2.5,WIN,"HARD TP HIT",YES,15152.12
21,2026-03-03 06:00,2026-03-03 10:00,LONG,SUPPORT BOUNCE,84.989,84.589,84.589,85.989,84.589,"0.76 Lots (3788 oz)",1515.21,-1515.21,-1,LOSS,"INITIAL SL HIT",NO,13636.91
22,2026-03-03 14:00,2026-03-03 18:00,LONG,SUPPORT BOUNCE,81.621,81.221,81.641,82.621,82.621,"0.68 Lots (3409 oz)",1363.69,3409.23,2.5,WIN,"HARD TP HIT",YES,17046.14
23,2026-03-04 10:00,2026-03-04 14:00,LONG,SUPPORT BOUNCE,85.297,84.897,84.897,86.297,84.897,"0.85 Lots (4262 oz)",1704.61,-1704.61,-1,LOSS,"INITIAL SL HIT",NO,15341.53
24,2026-03-09 01:00,2026-03-09 05:00,LONG,SUPPORT BOUNCE,80.55,80.15,80.57,81.55,81.55,"0.77 Lots (3835 oz)",1534.15,3835.38,2.5,WIN,"HARD TP HIT",YES,19176.91
25,2026-03-09 13:00,2026-03-09 17:00,SHORT,RESISTANCE BOUNCE,84.932,85.332,84.912,83.932,84.912,"0.96 Lots (4794 oz)",1917.69,95.88,0.05,WIN,"TRAILING SL HIT",YES,19272.79
26,2026-03-11 13:00,2026-03-11 17:00,SHORT,RESISTANCE BOUNCE,85.502,85.903,85.483,84.502,85.483,"0.96 Lots (4818 oz)",1927.28,91.55,0.05,WIN,"TRAILING SL HIT",YES,19364.34
27,2026-03-12 05:00,2026-03-12 09:00,SHORT,RESISTANCE BOUNCE,86.789,87.189,87.189,85.789,87.189,"0.97 Lots (4841 oz)",1936.43,-1936.43,-1,LOSS,"INITIAL SL HIT",NO,17427.91
28,2026-03-12 17:00,2026-03-12 21:00,LONG,SUPPORT BOUNCE,84.021,83.621,84.041,85.021,84.041,"0.87 Lots (4357 oz)",1742.79,87.14,0.05,WIN,"TRAILING SL HIT",YES,17515.05
29,2026-03-13 13:00,2026-03-13 17:00,LONG,SUPPORT BOUNCE,79.701,79.301,79.721,80.701,80.701,"0.88 Lots (4379 oz)",1751.51,4378.76,2.5,WIN,"HARD TP HIT",YES,21893.81
30,2026-03-16 09:00,2026-03-16 13:00,SHORT,RESISTANCE BOUNCE,79.446,79.846,79.846,78.446,79.846,"1.09 Lots (5473 oz)",2189.38,-2189.38,-1,LOSS,"INITIAL SL HIT",NO,19704.43
31,2026-03-18 09:00,2026-03-18 13:00,LONG,SUPPORT BOUNCE,78.011,77.611,77.611,79.011,77.611,"0.99 Lots (4926 oz)",1970.44,-1970.44,-1,LOSS,"INITIAL SL HIT",NO,17733.99
32,2026-03-18 17:00,2026-03-18 21:00,LONG,SUPPORT BOUNCE,77.133,76.733,76.733,78.133,76.733,"0.89 Lots (4433 oz)",1773.4,-1773.4,-1,LOSS,"INITIAL SL HIT",NO,15960.59
33,2026-03-22 21:00,2026-03-23 01:00,LONG,SUPPORT BOUNCE,65.539,65.139,65.559,66.539,65.559,"0.80 Lots (3990 oz)",1596.06,79.8,0.05,WIN,"TRAILING SL HIT",YES,16040.39
34,2026-03-24 17:00,2026-03-24 21:00,SHORT,RESISTANCE BOUNCE,70.733,71.133,71.133,69.733,71.133,"0.80 Lots (4010 oz)",1604.04,-1604.04,-1,LOSS,"INITIAL SL HIT",NO,14436.35
35,2026-03-25 01:00,2026-03-25 05:00,SHORT,RESISTANCE BOUNCE,74.513,74.913,74.493,73.513,73.513,"0.72 Lots (3609 oz)",1443.63,3609.09,2.5,WIN,"HARD TP HIT",YES,18045.44
36,2026-03-30 09:00,2026-03-30 13:00,SHORT,RESISTANCE BOUNCE,71.593,71.993,71.573,70.593,71.573,"0.90 Lots (4511 oz)",1804.54,90.23,0.05,WIN,"TRAILING SL HIT",YES,18135.67
37,2026-03-31 13:00,2026-03-31 17:00,SHORT,RESISTANCE BOUNCE,74.522,74.922,74.922,73.522,74.922,"0.91 Lots (4534 oz)",1813.57,-1813.57,-1,LOSS,"INITIAL SL HIT",NO,16322.1
38,2026-04-07 21:00,2026-04-08 01:00,SHORT,RESISTANCE BOUNCE,76.37,76.77,76.77,75.37,76.77,"0.82 Lots (4081 oz)",1632.21,-1632.21,-1,LOSS,"INITIAL SL HIT",NO,14689.89
39,2026-04-09 01:00,2026-04-09 05:00,SHORT,RESISTANCE BOUNCE,73.526,73.927,73.927,72.526,73.927,"0.73 Lots (3672 oz)",1468.99,-1472.66,-1,LOSS,"INITIAL SL HIT",NO,13217.23
40,2026-04-10 13:00,2026-04-12 21:00,SHORT,RESISTANCE BOUNCE,76.584,76.984,76.564,75.584,75.584,"0.66 Lots (3304 oz)",1321.72,3304.31,2.5,WIN,"HARD TP HIT",YES,16521.54
41,2026-04-13 17:00,2026-04-13 21:00,LONG,SUPPORT BOUNCE,74.875,74.475,74.895,75.875,75.875,"0.83 Lots (4130 oz)",1652.15,4130.39,2.5,WIN,"HARD TP HIT",YES,20651.93
42,2026-04-14 01:00,2026-04-14 05:00,SHORT,RESISTANCE BOUNCE,76.788,77.188,77.188,75.788,77.188,"1.03 Lots (5163 oz)",2065.19,-2065.19,-1,LOSS,"INITIAL SL HIT",NO,18586.74
43,2026-04-14 13:00,2026-04-14 17:00,SHORT,RESISTANCE BOUNCE,77.603,78.003,78.003,76.603,78.003,"0.93 Lots (4647 oz)",1858.67,-1858.67,-1,LOSS,"INITIAL SL HIT",NO,16728.07
44,2026-04-15 01:00,2026-04-15 05:00,SHORT,RESISTANCE BOUNCE,80.15,80.55,80.13,79.15,79.15,"0.84 Lots (4182 oz)",1672.81,4182.02,2.5,WIN,"HARD TP HIT",YES,20910.09
