TradeNum,Date,ExitDate,Type,LevelType,EntryPrice,InitialSL,FinalSL,HardTP,ExitPrice,StandardLots,RiskUSD,PnLUSD,RMultiple,Result,ExitReason,BELocked,RunningBalance
1,2026-02-01 22:00,2026-02-02 02:00,LONG,SUPPORT BOUNCE,4660.15,4650.15,4660.65,4685.15,4660.65,"1.00 Lots (100 oz)",1000,50,0.05,WIN,"TRAILING SL HIT",YES,10050
2,2026-02-02 06:00,2026-02-02 10:00,LONG,SUPPORT BOUNCE,4408.59,4398.59,4409.09,4433.59,4433.59,"1.00 Lots (101 oz)",1005,2512.5,2.5,WIN,"HARD TP HIT",YES,12562.5
3,2026-02-03 02:00,2026-02-03 06:00,LONG,SUPPORT BOUNCE,4755.82,4745.82,4756.32,4780.82,4780.82,"1.26 Lots (126 oz)",1256.25,3140.63,2.5,WIN,"HARD TP HIT",YES,15703.13
4,2026-02-04 06:00,2026-02-04 10:00,LONG,SUPPORT BOUNCE,5047.59,5037.59,5048.09,5072.59,5048.09,"1.57 Lots (157 oz)",1570.31,78.52,0.05,WIN,"TRAILING SL HIT",YES,15781.65
5,2026-02-05 18:00,2026-02-05 22:00,LONG,SUPPORT BOUNCE,4790.4,4780.4,4780.4,4815.4,4780.4,"1.58 Lots (158 oz)",1578.17,-1578.17,-1,LOSS,"INITIAL SL HIT",NO,14203.48
6,2026-02-09 14:00,2026-02-09 18:00,SHORT,RESISTANCE BOUNCE,5047.16,5057.16,5057.16,5022.16,5057.16,"1.42 Lots (142 oz)",1420.35,-1420.35,-1,LOSS,"INITIAL SL HIT",NO,12783.13
7,2026-02-11 10:00,2026-02-11 14:00,SHORT,RESISTANCE BOUNCE,5091.18,5101.18,5090.68,5066.18,5090.68,"1.28 Lots (128 oz)",1278.31,63.92,0.05,WIN,"TRAILING SL HIT",YES,12847.05
8,2026-02-12 02:00,2026-02-12 06:00,SHORT,RESISTANCE BOUNCE,5077.99,5087.99,5077.49,5052.99,5077.49,"1.28 Lots (128 oz)",1284.71,64.24,0.05,WIN,"TRAILING SL HIT",YES,12911.29
9,2026-02-12 14:00,2026-02-12 18:00,LONG,SUPPORT BOUNCE,4999.7,4989.7,4989.7,5024.7,4989.7,"1.29 Lots (129 oz)",1291.13,-1291.13,-1,LOSS,"INITIAL SL HIT",NO,11620.16
10,2026-02-13 18:00,2026-02-15 22:00,LONG,SUPPORT BOUNCE,5020.47,5010.47,5020.97,5045.47,5020.97,"1.16 Lots (116 oz)",1162.02,58.1,0.05,WIN,"TRAILING SL HIT",YES,11678.26
11,2026-02-17 02:00,2026-02-17 06:00,LONG,SUPPORT BOUNCE,4879.25,4869.25,4879.75,4904.25,4904.25,"1.17 Lots (117 oz)",1167.83,2919.57,2.5,WIN,"HARD TP HIT",YES,14597.83
12,2026-02-19 06:00,2026-02-19 10:00,SHORT,RESISTANCE BOUNCE,5010.16,5020.16,5009.66,4985.16,4985.16,"1.46 Lots (146 oz)",1459.78,3649.46,2.5,WIN,"HARD TP HIT",YES,18247.29
